#{"t_start": 1776775756.063596, "env_id": "BDXCourseProject-v0"}
r,l,t
-24.083459,260,0.175259
-8.455661,201,0.299013
-10.300765,210,0.43041
-21.486631,237,0.579073
-9.479189,200,0.706698
-20.917093,267,0.872859
-25.242181,220,1.005975
-15.758894,235,1.153445
-14.964805,257,1.860976
-22.875363,335,2.101101
-33.190325,306,2.291907
-17.199953,195,2.406784
-14.754435,207,2.531272
-11.046006,184,2.64207
-7.244442,210,2.772834
-11.844664,214,2.905037
-11.505959,213,3.036958
-15.963687,224,3.705397
-16.940646,224,3.846966
-13.898082,249,4.01014
-17.363897,272,4.180641
-10.696342,202,4.305759
-22.676381,286,4.49006
-8.437546,199,4.610378
-22.942801,250,4.769939
-7.365905,184,4.880485
-8.724149,206,5.525755
-13.027003,261,5.692233
-17.831337,189,5.807805
-23.724203,258,5.977009
-5.250217,224,6.114194
-2.850328,195,6.235009
-9.320716,208,6.363088
-19.110143,258,6.52064
-13.772501,250,6.676912
-10.533714,218,7.337694
-17.474233,230,7.488447
-20.326138,266,7.661822
-6.458681,198,7.779768
-3.479441,207,7.909277
-14.210687,243,8.060222
-11.53231,233,8.208019
-14.968585,219,8.348221
-9.514022,219,8.489254
-5.550253,202,9.150919
-10.661136,196,9.275188
-15.903783,205,9.39995
-9.109661,227,9.540073
-4.167894,187,9.655758
-20.024733,259,9.814999
-2.968753,193,9.937691
-18.583905,313,10.140089
-8.369316,210,10.281243
-15.525225,217,10.936078
-9.288474,203,11.066714
-2.863516,175,11.170862
-11.059451,213,11.302602
-13.593511,194,11.418609
-13.341796,223,11.558373
-6.669897,218,11.692523
-4.522938,202,11.815195
-1.720245,170,11.916045
-14.187513,217,12.050824
-12.120116,235,12.718642
-6.061832,208,12.846342
-6.678843,211,12.976447
-6.118656,171,13.080699
-8.232738,211,13.210395
-5.731755,200,13.334779
-9.574221,205,13.467859
-4.085447,181,13.574398
-13.156913,227,13.713982
-13.998471,193,13.831373
-6.593298,223,14.48967
-12.522322,217,14.621665
-3.402164,173,14.725534
-4.552675,168,14.828654
-4.458964,195,14.949059
-10.20129,185,15.065037
-7.095284,184,15.179731
-7.414805,195,15.298981
-5.620951,182,15.409253
-12.524886,220,15.542902
-15.360162,214,15.671712
-9.297732,239,16.365891
-5.869775,174,16.471164
