#{"t_start": 1776781573.628543, "env_id": "BDXCourseProject-v0"}
r,l,t
-17.214856,229,0.289194
-22.5278,241,0.576243
-17.573498,282,0.843001
-22.309652,240,1.044752
-16.47672,241,1.259819
-23.151496,216,1.431874
-18.787936,285,1.724
-8.06259,188,1.905874
-10.298869,196,2.114019
-18.877623,213,2.37218
-8.890603,198,2.653274
-10.347445,237,2.847106
-29.339516,262,3.225014
-16.424633,210,3.467668
-11.606123,194,3.653662
-9.05511,193,3.838678
-8.919982,191,4.020104
-18.158884,207,4.216564
-8.105759,193,4.46093
-20.243897,255,4.702012
-14.621819,194,4.888741
-11.070406,196,5.059929
-13.274389,193,5.301099
-17.051497,207,5.540346
-14.398174,247,5.84219
-12.358263,240,6.107385
-27.311731,199,6.301418
-7.700049,236,6.593427
-16.922355,195,6.768719
-10.141464,256,7.053245
-12.874028,203,7.2716
-8.570809,202,7.510991
-20.9258,223,7.790972
-10.989525,200,8.014737
-12.786108,187,8.200853
-14.741663,204,8.399174
-11.058972,207,8.602948
-12.384747,198,8.805171
-17.974015,254,9.045951
-18.051095,193,9.24686
-10.094982,196,9.454873
-27.439869,275,9.743836
-13.346644,196,9.995261
-6.301654,177,10.250338
-31.965229,286,10.602743
-13.65086,213,11.869911
-12.048862,195,15.5289
-9.870183,198,20.523838
-20.259529,263,25.646288
-10.164647,202,29.44696
-12.477244,200,33.425573
-15.224948,231,36.048724
-12.287586,205,40.435098
-5.372814,187,43.75924
-16.691916,208,47.227921
-9.751225,184,50.40438
-12.082507,223,55.259078
-14.80297,233,59.126212
-13.843864,205,62.59119
-15.257601,191,66.000771
-26.86499,193,69.61245
-10.35445,180,71.544919
-22.384764,184,73.189381
-19.526313,198,74.891928
-9.910809,195,76.607075
-15.995283,180,78.305547
-34.251214,186,79.97553
-19.490004,192,81.651902
-15.512291,237,83.836103
-6.783592,176,85.343613
-12.377463,208,87.366648
-12.156896,247,89.616368
-18.681463,199,91.388399
-10.084252,189,93.07767
-11.333469,213,94.88677
-27.414423,228,96.837809
-15.285879,209,98.61199
-14.352696,192,100.23249
-28.146247,214,102.060199
-20.402302,189,103.671559
-26.432441,200,105.384764
-35.393658,257,107.577522
-11.269042,211,109.377252
-20.959296,210,111.144564
-11.440453,182,112.700862
-19.730485,204,114.427622
-14.471354,205,116.163
-12.675746,182,117.690496
-28.057088,193,119.35204
-7.146681,177,120.847085
-8.715824,179,122.403428
-9.653109,185,123.964005
-7.680145,182,125.519995
-13.244956,193,127.143045
-15.192544,224,129.049447
-24.982518,202,130.762177
-12.226137,196,132.477254
-10.53837,171,133.937246
-8.564957,172,135.395977
-10.696642,184,136.950272
-11.709102,186,138.535493
-11.072163,192,140.169398
-14.226109,189,141.782547
-15.136875,189,143.373127
-12.908405,183,144.917152
-12.848813,174,146.373972
-12.423879,184,148.338707
-12.26149,179,149.882131
-25.278501,166,151.283566
-13.049909,186,152.851183
-25.05376,181,154.383689
-48.08222,246,156.54896
-31.332988,224,158.467602
-12.02612,221,160.352205
-9.077772,182,161.908323
-16.114336,210,163.736295
-18.509714,199,165.473877
-20.786344,227,167.695926
-24.22678,217,169.557995
-20.560411,214,171.36771
-16.301898,211,173.157181
-12.910012,180,174.777505
-15.443857,189,176.386183
-12.289242,200,178.077937
-8.373442,172,179.535362
-14.978466,200,181.572206
-9.532882,177,183.127539
-13.286361,177,184.654163
-8.352139,175,186.135096
-6.09724,177,187.632236
-15.525765,216,189.477897
-46.052883,248,191.758458
-16.656981,197,193.461401
-23.537178,208,195.24165
-16.618721,194,196.891836
-6.907912,169,198.320252
-4.396981,172,199.835395
-7.061345,171,201.312516
-14.12445,181,202.855217
-8.815606,177,204.358667
-23.47294,223,206.324156
-10.734386,173,207.77346
-7.379086,193,209.442891
-17.136549,212,211.253294
-12.245076,177,212.809599
-8.827718,170,214.275616
-26.346815,212,216.159317
-22.454474,235,218.161765
-5.687344,161,219.551
-20.322176,245,221.675634
-13.200996,185,223.313833
-12.19987,177,224.805638
-11.692899,183,226.372428
-11.157556,183,227.931677
-17.9241,182,229.530983
-20.827405,176,231.045957
-13.54857,174,232.620883
-15.90401,175,234.162758
-11.851307,193,235.833822
-12.829166,182,237.378822
-12.629051,176,238.904352
-20.850079,182,240.741823
-24.368859,180,242.341017
-19.531183,185,243.912175
-24.503997,191,245.586549
-44.621721,201,247.579213
-26.493968,192,249.373252
-21.107524,173,250.875673
-18.761417,170,252.317127
-17.151009,186,253.887589
-25.977271,202,255.596424
-49.546094,203,257.316743
-22.741038,190,258.933312
-7.501491,176,260.416411
-13.4568,178,261.902378
-22.112672,186,263.461553
-35.305431,192,265.083393
