#{"t_start": 1776894619.110005, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
10.5678,243,0.125219
4.379212,166,0.196664
7.075785,201,0.288611
8.780342,187,0.374534
3.392224,162,0.444626
15.118297,213,0.544061
8.145722,183,0.627623
11.826031,198,0.717593
6.879837,188,0.803967
26.879755,277,0.939812
14.426663,201,1.387268
3.908944,163,1.457245
13.000465,219,1.55861
21.722082,281,1.702853
18.007941,256,1.826805
2.203801,155,1.892675
5.784851,176,1.969191
1.591268,143,2.02827
3.590695,162,2.098292
3.580132,165,2.168097
2.318945,144,2.226619
10.800964,202,2.673166
9.734023,193,2.759162
3.222671,168,2.830799
12.979132,198,2.919899
8.86708,192,3.005014
4.17435,183,3.088453
0.411504,207,3.1878
18.921026,223,3.293649
13.122675,202,3.388776
8.777407,180,3.46919
10.35966,190,3.915897
12.296466,208,4.013427
2.8093,153,4.077969
19.736373,286,4.218338
3.717479,191,4.303786
5.763225,173,4.381982
2.636996,153,4.446565
15.16477,223,4.551882
13.932623,214,4.654449
24.120254,318,4.813325
14.623105,275,5.304917
15.332664,233,5.455326
9.481584,183,5.54016
1.55686,178,5.62455
2.725836,158,5.693472
5.415797,173,5.771959
24.757269,256,5.911121
7.87258,186,5.995089
21.06291,277,6.13246
5.601113,185,6.607926
2.301853,146,6.670749
13.956637,221,6.781579
4.973805,167,6.859595
19.831314,253,6.987044
27.444261,288,7.322112
12.176004,199,7.442324
20.022843,245,7.590562
17.994599,230,7.730165
4.646972,169,7.815665
4.009891,185,9.183833
4.842383,171,9.321143
9.92683,297,9.550108
7.780895,208,9.681229
2.949478,155,9.761576
8.558968,182,9.858437
11.743405,242,9.994274
5.244878,188,10.091043
13.807021,212,10.197368
15.249625,251,10.324153
14.154924,206,10.841109
8.055857,209,10.954829
16.391451,215,11.081938
14.008947,211,11.196392
8.071812,181,11.286946
9.445927,189,11.386605
14.267414,209,11.495655
7.26045,200,11.598586
10.384449,188,11.692218
7.001782,196,11.786134
8.238552,200,12.258978
14.328055,222,12.373505
18.017977,217,12.483978
8.90604,188,12.575724
11.757539,196,12.672896
9.128234,200,12.771141
3.245003,154,12.8402
9.188954,184,12.938457
15.238892,214,13.054995
3.633024,160,13.128067
11.560382,193,13.216115
12.977189,206,13.68267
5.931043,184,13.768137
7.226894,178,13.851549
11.423641,195,13.943392
8.560476,181,14.02427
12.672264,194,14.114692
14.913196,212,14.219333
12.05468,199,14.323466
9.382257,220,14.44481
2.296785,149,14.520593
23.933788,291,15.052805
7.290295,172,15.169577
11.620522,207,15.385958
16.111351,213,15.684151
3.687168,163,15.990183
12.609533,233,16.345574
10.813732,192,16.528457
7.797025,181,16.662548
10.018178,232,16.815201
15.759999,219,16.942445
5.547517,208,17.954944
13.206954,214,18.374833
12.081287,203,18.656551
4.611333,178,18.897793
14.36446,208,19.628517
10.06444,201,20.007217
21.413574,256,20.376889
13.159323,206,20.580441
15.043665,221,20.974817
12.318548,220,21.177316
24.063542,264,21.833755
9.735188,192,21.935757
13.168244,203,22.045023
13.494658,201,22.149115
13.745463,205,22.253495
26.991381,279,22.398802
-1.29045,240,22.526086
17.425777,258,22.657802
15.04187,214,22.761716
16.041944,250,23.249782
27.766264,340,23.43032
14.371865,218,23.530054
20.271454,243,23.644182
14.177177,227,23.756859
10.278826,185,23.844928
8.894548,183,23.928887
13.693508,235,24.044131
19.525204,262,24.523338
20.418806,241,24.65214
19.363209,270,24.792278
21.130603,265,24.928125
13.44449,205,25.02389
10.221368,225,25.134151
10.486693,208,25.238196
5.036946,179,25.318417
11.503528,203,25.413636
15.859668,210,25.881786
11.014878,203,25.983762
7.08178,216,26.094517
14.637587,230,26.210251
15.708574,218,26.309158
23.776584,268,26.443379
9.152264,201,26.546556
11.215493,204,26.648086
13.836337,268,26.790942
14.517185,208,26.89454
13.917193,219,27.378064
21.287637,254,27.505013
20.689319,245,27.627999
22.395461,244,27.751388
11.186814,197,27.844541
8.843048,201,27.941531
14.818554,210,28.043912
14.708041,215,28.153294
13.595192,222,28.261297
12.3687,191,28.733544
16.938145,233,28.852492
11.979752,206,28.950952
12.498111,214,29.05773
9.930812,215,29.208444
14.273389,212,29.315764
8.547049,193,29.406306
15.734053,225,29.517502
23.552891,258,29.646928
11.598855,208,30.123322
13.24498,234,30.243748
4.451043,169,30.322884
19.6325,252,30.456532
30.679682,287,30.606832
19.56042,255,30.753922
14.743371,211,30.85766
12.681126,203,30.955873
12.446701,201,31.049239
5.466083,193,31.144169
14.659178,208,31.598493
16.918035,224,31.710733
11.576281,196,31.80478
25.845769,265,31.980177
12.355324,204,32.08525
13.248956,198,32.179618
13.038698,203,32.274422
11.003715,199,32.368797
21.515398,250,32.513003
27.966139,287,33.064091
8.234962,187,33.15412
17.310742,223,33.26905
29.169286,289,33.415951
14.682744,213,33.511845
24.338228,252,33.631814
13.84204,305,33.797758
3.54588,250,33.92407
19.395239,232,34.386041
11.870004,211,34.488772
22.046092,268,34.617807
9.985611,190,34.706882
5.596372,230,34.821622
11.219791,202,34.920449
23.783707,305,35.091095
17.786259,234,35.206813
18.355701,229,35.322098
21.806065,320,35.864067
13.130202,210,35.972864
26.412339,325,36.146389
20.515168,243,36.26107
18.11646,255,36.38731
10.014055,202,36.481331
26.30411,270,36.667213
8.810401,221,36.780257
46.053395,364,37.339473
8.844468,191,37.43142
16.829571,245,37.547787
16.826593,219,37.66138
16.900647,236,37.785142
14.220854,212,37.887426
13.04567,207,37.988963
13.467684,241,38.109222
10.832202,198,38.200955
20.634053,236,38.670396
14.416182,204,38.764917
19.806696,247,38.900217
25.304918,276,39.042902
8.463322,183,39.130471
13.627024,202,39.224071
12.871849,204,39.31831
12.615657,198,39.407804
13.834792,221,39.514481
11.816237,193,39.977815
8.537795,185,40.065429
10.593945,195,40.167106
36.348882,342,40.354057
13.475276,200,40.446744
11.534505,211,40.547717
11.983898,202,40.651553
33.327594,288,40.795222
9.026499,191,40.883535
29.246074,288,41.380649
13.010473,226,41.489148
14.175661,249,41.657243
8.578471,201,41.758628
16.407019,235,41.872192
7.206126,197,41.967939
32.710389,300,42.12205
18.8137,246,42.243339
16.420649,250,42.371626
42.090115,380,42.918235
26.73112,317,43.076622
14.598836,212,43.17629
20.556774,254,43.297904
16.883274,227,43.408449
30.138321,281,43.545846
10.322413,193,43.635219
20.517086,243,44.094667
17.090361,245,44.215383
17.584267,217,44.313836
31.424047,294,44.453472
14.962478,243,44.57159
48.467278,380,44.762928
34.345515,303,44.915147
18.830755,230,45.018626
34.854293,322,45.513087
11.970317,206,45.608162
14.996804,212,45.706104
21.347941,236,45.814194
16.990001,240,45.935707
23.239207,277,46.067462
12.450845,209,46.164829
12.372967,201,46.250496
30.352657,304,46.741121
31.576515,296,46.890236
9.54369,183,46.97082
10.600789,227,47.08222
5.84675,189,47.166771
11.93863,204,47.256053
23.513399,309,47.403305
9.356079,213,47.497058
33.176622,315,47.648486
32.207687,356,48.159697
22.803742,263,48.286069
21.159734,248,48.403259
32.327336,302,48.549412
16.42059,226,48.65579
30.255722,289,48.809657
16.021189,223,48.917655
40.42121,367,49.452519
34.318124,308,49.598443
17.744793,232,49.705013
15.528971,220,49.840474
31.748609,329,50.006657
18.694333,227,50.113916
36.196802,320,50.265487
13.573567,210,50.359999
20.426568,235,50.803201
14.397952,220,50.905822
15.086472,215,51.005931
12.089292,212,51.103318
13.537982,217,51.223085
12.989077,211,51.323143
27.351523,292,51.467789
22.999292,253,51.595777
14.093566,199,51.682672
42.870059,361,52.220518
31.639725,287,52.362416
22.136992,283,52.497477
35.634974,325,52.659781
13.005939,206,52.753407
30.253992,285,52.893213
20.152067,245,53.008311
17.48994,244,53.468857
24.822383,259,53.589915
32.652542,296,53.731159
30.44769,279,53.866013
14.320964,234,53.981154
26.686383,272,54.115035
12.248858,219,54.22482
21.924753,283,54.36351
20.470941,265,54.840426
15.969524,238,54.952744
14.365335,214,55.05
29.190367,290,55.190281
38.995678,320,55.344269
50.183179,397,55.540627
29.915025,285,55.675561
15.637723,215,56.12044
29.47088,283,56.26014
70.456905,479,56.501129
16.805328,221,56.602283
10.949549,209,56.697422
23.043748,257,56.821695
15.540385,214,56.917711
11.90241,241,57.36439
28.875804,287,57.499022
64.187921,530,57.760441
42.418436,352,57.928615
24.118964,272,58.053904
24.145386,277,58.186735
17.818175,252,58.305609
13.967826,223,58.749953
42.536914,364,58.927102
29.999701,291,59.069749
26.200495,271,59.193289
36.933412,332,59.350862
30.797866,284,59.482525
7.305532,191,59.563678
31.703575,286,60.047129
29.395405,327,60.203632
21.697232,256,60.317705
102.927302,674,60.662052
25.083968,288,60.794532
33.337118,302,60.930169
35.871618,333,61.42792
42.194039,367,61.597056
15.40575,224,61.690349
45.200145,418,61.893401
41.74677,395,62.080143
31.308778,294,62.215073
58.387718,482,62.807922
29.690597,340,62.977964
23.89863,266,63.11258
47.777973,402,63.310692
9.705334,201,63.400666
