#{"t_start": 1776807372.5500429, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
27.714091,224,0.576979
23.423702,198,0.6551
21.011493,189,0.731182
50.667225,264,0.859762
26.817565,215,0.958943
37.596836,223,1.053053
44.684444,268,1.16361
34.596104,233,1.261941
21.123837,205,1.348582
29.77697,220,1.898362
36.024776,232,2.001136
35.054285,225,2.100176
46.68157,257,2.213281
13.33577,194,2.292288
25.908873,205,2.376891
37.979232,253,2.481858
28.974279,220,2.571715
45.328421,290,3.038608
55.713392,291,3.167508
46.161486,261,3.283413
18.841076,206,3.366858
33.661563,230,3.458047
23.589741,195,3.534363
41.126228,250,3.639872
82.77033,373,3.813366
24.261108,204,3.896022
27.728678,204,4.396174
33.386032,254,4.505275
25.285206,210,4.598345
44.043549,248,4.712176
25.696946,225,4.828817
43.939749,261,4.947698
42.90666,280,5.080696
25.254499,213,5.1757
52.372061,260,5.674145
30.5768,211,5.772725
23.416578,216,5.874188
24.10247,216,5.970546
21.841073,204,6.060887
23.583914,240,6.168951
40.310911,252,6.295598
37.157054,285,6.435774
32.619503,228,6.541552
38.219031,244,7.131682
27.303563,213,7.249085
36.763985,228,7.372997
44.600457,298,7.530097
20.623067,228,7.634687
48.776764,278,7.772551
32.46534,235,7.881232
25.611049,211,7.975999
35.714979,232,8.430075
23.043075,223,8.52246
28.900613,206,8.603162
48.407542,258,8.707286
49.77922,288,8.832127
35.738442,227,8.975942
26.953977,200,9.054064
36.792492,241,9.15083
30.064785,232,9.256964
53.838159,276,9.755997
39.524687,220,9.852779
28.976919,254,9.965035
40.311804,237,10.070137
23.899455,190,10.240304
28.954806,235,10.356368
30.689952,209,10.45644
64.03215,300,10.609356
44.69847,268,10.725759
20.583302,189,11.191487
43.786038,239,11.291168
50.262801,269,11.405177
36.715353,236,11.539
30.3222,209,11.632134
34.511319,232,11.746526
44.070491,260,11.910322
30.926845,228,12.009772
26.806081,227,12.534973
26.496779,215,12.647422
31.619256,237,12.780825
44.284538,248,12.915192
26.948161,208,13.016085
36.787648,227,13.11526
48.245649,271,13.240582
25.271216,212,13.329082
37.275607,221,13.414956
34.692604,227,13.85944
50.092761,251,13.961324
38.575525,227,14.057107
25.189088,237,14.151765
57.985862,281,14.274742
52.125036,259,14.383362
44.526167,284,14.503099
22.895841,213,14.59144
18.183177,211,14.680664
35.824815,224,15.110832
33.01025,218,15.198294
41.60616,270,15.312776
46.354356,256,15.421984
50.356695,283,15.547224
43.638244,275,15.665199
34.431246,240,15.763684
35.71574,222,15.86205
60.157106,291,16.325817
29.939115,218,16.412585
63.555606,300,16.544202
41.251655,241,16.641179
47.386927,262,16.899409
39.144115,265,17.111218
28.07497,209,17.213062
34.050142,222,17.304842
58.562038,335,17.90689
70.382912,294,18.110068
49.558469,282,18.242559
60.057179,276,18.38256
42.407089,261,18.504155
50.089686,296,18.641361
32.170999,267,18.760883
45.608508,247,19.254364
57.400253,296,19.390969
42.908157,243,19.499503
49.035358,264,19.612891
43.443543,248,19.724022
41.0972,263,19.841368
73.300732,326,19.979944
39.691692,241,20.087123
37.708317,249,20.53903
95.502908,396,20.71499
52.93229,280,20.852173
31.669528,230,20.957564
35.067154,214,21.049855
52.405666,251,21.154639
31.781393,217,21.245676
33.620959,217,21.336248
92.424839,382,21.875253
34.320715,237,21.982011
89.096678,354,22.14981
34.225967,230,22.251223
55.604839,268,22.36895
60.548697,321,22.520634
72.353409,323,22.666261
33.958633,213,23.132132
42.682922,254,23.24449
85.783385,368,23.422821
26.712225,214,23.511472
38.190202,249,23.616796
81.180828,351,23.787336
86.434602,342,23.954913
79.453353,337,24.476843
67.954244,315,24.615384
34.019381,229,24.722873
57.373324,281,24.847405
31.433251,207,24.936808
40.702376,240,25.059161
40.478922,235,25.180618
112.220928,428,25.806037
88.601701,372,25.970069
41.061416,239,26.065629
39.671483,274,26.181018
63.342866,323,26.323604
67.215792,336,26.476031
46.91218,259,26.598366
28.045589,210,27.095192
48.499336,258,27.208485
41.248283,253,27.307928
89.009869,343,27.46976
37.381701,260,27.584512
37.896012,231,27.681328
63.390574,297,27.815355
64.287218,316,28.350472
52.853541,290,28.469702
43.781542,257,28.583485
54.973993,258,28.691835
49.921621,250,28.794403
77.978437,347,28.957787
69.276614,314,29.088983
26.377818,204,29.173243
42.794696,240,29.620157
65.343449,293,29.786684
49.776741,266,29.905816
41.214996,243,30.006676
46.287654,246,30.110192
47.111481,278,30.232968
46.027965,281,30.349301
66.260245,332,30.829389
179.440051,574,31.119314
30.345243,219,31.212453
77.43211,339,31.360922
54.404362,290,31.495098
35.770227,233,31.58855
36.563284,220,31.673726
68.472623,296,32.147896
51.764476,277,32.264694
44.233155,243,32.363774
31.176296,222,32.458086
63.349964,303,32.591329
40.285089,241,32.689445
94.769861,368,32.851837
51.007295,255,32.959556
52.149996,277,33.41727
82.63569,354,33.57549
93.626947,375,33.739461
74.163712,358,33.90731
49.563035,270,34.022793
67.329785,313,34.160209
33.407936,243,34.599024
65.689695,308,34.739679
29.220739,207,34.829766
77.711963,322,34.968518
33.486368,241,35.068113
36.985866,240,35.167953
49.424562,257,35.275742
29.609623,209,35.362381
65.700352,292,35.821944
32.263784,216,35.91464
47.64798,287,36.033531
109.48257,397,36.19679
42.198374,238,36.294237
88.061408,362,36.454202
30.65509,221,36.542353
40.763189,227,36.976821
68.368338,325,37.116859
122.406874,438,37.307008
126.052204,426,37.487316
70.923755,305,37.614919
85.35271,347,37.770617
59.835704,296,38.235442
58.493908,264,38.343908
59.119224,294,38.472903
105.73622,408,38.666124
72.168826,345,38.805389
69.180995,288,38.930635
78.888914,316,39.392816
83.917302,359,39.543713
87.968589,365,39.70601
58.016452,258,39.812685
62.072848,298,39.944495
86.682637,355,40.099067
78.996194,320,40.24481
35.295368,217,40.66814
90.031135,370,40.829131
92.624715,372,40.99253
66.18795,294,41.118477
63.771449,283,41.234373
40.528991,235,41.32761
44.979944,235,41.424472
35.635474,228,41.883605
74.558859,343,42.040163
184.787757,622,42.313969
170.195114,575,42.570515
88.013537,339,42.710523
75.855045,311,43.188121
77.99566,321,43.323297
53.740282,255,43.426013
44.932035,237,43.519723
70.168624,310,43.65956
89.102647,353,43.810621
166.373323,573,44.413337
76.439088,311,44.546437
108.033177,386,44.702906
136.325891,470,44.904437
57.395827,290,45.026588
44.122031,239,45.124753
136.093619,468,45.675741
185.272352,606,45.956093
59.306559,276,46.072365
75.037338,294,46.193671
83.560367,351,46.340913
92.19,343,46.825065
76.696914,323,46.961479
111.567284,388,47.131008
161.411134,510,47.356072
80.206892,336,47.507234
72.741908,295,47.965929
95.383107,361,48.115418
55.6355,254,48.220498
90.225659,347,48.368774
53.870983,275,48.481196
41.647018,237,48.582236
132.164135,429,48.764929
114.068167,399,49.279691
78.215561,337,49.418515
100.984174,379,49.574317
99.935612,393,49.740608
164.776351,566,49.999596
106.414623,396,50.502956
60.492689,296,50.632406
57.647804,259,50.741322
100.693711,350,50.88422
52.331364,273,50.999904
118.804857,412,51.174509
92.788033,349,51.665598
44.610078,246,51.764253
215.666908,676,52.071989
169.436886,556,52.323901
83.429776,352,52.473441
116.211975,421,52.997043
78.397449,311,53.131917
121.850499,410,53.303966
244.584039,696,53.618969
78.218711,303,54.083223
119.125252,434,54.275363
67.934451,309,54.400283
91.296072,343,54.544782
354.786309,932,55.306006
134.508038,449,55.505658
126.76378,469,55.720993
213.272405,655,56.03068
75.693275,321,56.166764
182.987865,558,56.803217
73.565115,309,56.939521
239.298127,662,57.234966
55.196471,267,57.345094
173.550207,534,57.924535
97.211214,363,58.08585
125.301973,421,58.271516
73.828415,320,58.406528
212.355854,658,58.718686
163.706403,561,59.317436
128.090735,407,59.492396
54.222364,252,59.600207
56.340938,268,59.719276
75.851319,299,59.843561
76.368071,328,59.98195
53.182369,262,60.431108
105.806192,360,60.589736
109.382184,394,60.763055
164.658035,570,61.028696
178.375092,567,61.633423
143.108948,497,61.853479
302.093051,868,62.257999
247.645127,745,62.945886
145.035553,507,63.180579
348.765197,958,63.641316
235.559439,718,64.324192
93.927988,357,64.482637
236.296234,710,64.819235
157.280319,489,65.040161
164.114982,527,65.621761
57.137679,276,65.735198
359.057121,1074,66.260025
137.355039,463,66.796739
216.681529,669,67.108489
230.094528,730,67.439304
120.907507,462,67.656529
112.169199,369,68.159052
215.835542,699,68.479154
204.132116,629,68.758325
149.605075,486,68.975751
332.818001,1022,69.810373
85.749707,322,69.952105
143.283655,519,70.196339
130.447635,437,70.732251
136.985249,445,70.933889
133.940185,434,71.123719
45.078603,256,71.229824
209.370824,618,71.505178
79.009282,335,72.021283
128.246238,454,72.232693
167.483074,561,72.489351
146.056743,481,72.705539
121.698645,425,73.238299
221.97563,639,73.534007
171.58081,567,73.801544
153.201259,510,74.033424
97.802675,380,74.553388
388.140303,1096,75.111849
215.349708,667,75.428455
226.630355,725,76.13221
124.614016,402,76.313129
91.966365,353,76.474136
104.188221,387,76.652812
173.886377,571,77.265549
103.281446,371,77.439167
331.815951,941,77.923213
436.91867,1161,78.843193
171.009237,563,79.113817
244.371928,726,79.472016
228.254562,670,80.120285
162.951345,499,80.361495
342.409055,939,81.16572
220.445852,620,81.460012
285.670219,829,81.864274
118.935367,420,82.066942
288.22273,795,82.795356
253.438439,710,83.131613
100.727105,385,83.31195
644.641914,1631,84.468442
143.394338,493,84.726729
684.820447,1760,85.939606
163.512059,524,86.185904
126.354502,418,86.707284
72.568353,278,86.822323
136.551105,454,87.032576
186.171602,524,87.283183
391.067917,981,88.138193
131.86385,425,88.333893
463.791507,1170,89.257712
163.755564,513,89.505054
293.89384,824,89.919561
398.53366,1099,90.804807
107.749656,373,90.971056
264.585057,730,91.32668
166.768682,522,91.914665
191.199599,600,92.211145
148.82325,487,92.450195
491.229537,1230,93.373905
444.765487,1177,93.961259
269.493054,756,94.665497
517.762579,1416,95.399659
229.896519,664,96.047121
316.713242,842,96.440682
91.037096,346,96.590668
407.326212,1058,97.45144
222.843879,682,97.766307
439.741656,1167,98.684426
160.918965,485,98.900451
386.75773,990,99.379741
630.466895,1523,100.472393
284.540909,763,100.833199
333.893644,909,101.611863
213.397606,626,101.906806
129.111761,411,102.086474
148.937206,471,102.639065
1595.876734,3878,105.265367
157.824926,475,105.47368
255.861169,714,105.801736
156.576412,486,106.014503
129.661651,404,106.530282
201.02374,553,106.776616
395.561754,1002,107.253197
199.677679,540,107.824993
266.663947,724,108.169607
116.493013,381,108.335857
432.217817,1142,109.197438
367.855149,897,109.607936
129.909681,397,109.782474
223.616737,602,110.391814
217.97168,612,110.668072
248.883864,654,110.958003
