#{"t_start": 1776809639.326288, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
49.902438,260,0.124615
38.39755,201,0.204759
37.817483,210,0.292592
45.785611,237,0.389685
32.883538,200,0.47059
48.421327,268,0.579525
24.892848,226,0.665733
46.529767,220,0.752192
29.455037,236,1.197578
56.0798,249,1.305522
48.10681,256,1.412996
46.127656,257,1.521188
65.085611,295,1.656295
44.938513,224,1.752365
36.266934,203,1.83226
30.101885,195,1.911882
34.762175,201,1.988296
20.164661,178,2.385122
33.774119,203,2.471763
41.332515,227,2.567705
28.298774,216,2.659535
33.380181,206,2.743843
58.460691,240,2.841664
35.848724,194,2.923682
25.806246,208,3.008576
40.507272,219,3.096726
36.136446,226,3.184128
26.833703,212,3.610296
36.061313,204,3.69715
36.721368,219,3.788882
52.940083,237,3.890933
24.284302,217,3.979891
30.167629,190,4.05179
27.17052,189,4.123007
40.680634,218,4.213187
40.410269,212,4.302012
21.918164,184,4.37729
31.119061,235,4.834437
31.63892,234,4.93861
23.126087,180,5.013975
48.356976,243,5.148162
25.8398,186,5.22456
49.761393,261,5.346634
48.277957,232,5.460176
24.138329,220,5.558414
31.721841,206,5.757129
32.818898,208,6.257489
18.905033,194,6.345612
36.322136,238,6.450535
43.814576,262,6.577563
48.55243,270,6.810448
37.114869,237,6.948049
42.671315,241,7.073333
52.007391,247,7.189119
36.319156,232,7.293218
35.166065,230,7.767894
52.074422,247,7.87754
79.12527,302,8.021056
24.936633,199,8.106243
42.400331,256,8.219362
44.9821,235,8.317798
28.74774,196,8.399775
40.596427,250,8.506923
28.766058,225,8.986257
43.932589,224,9.086453
22.991756,200,9.168138
77.200666,320,9.311377
49.583761,226,9.413977
30.2973,222,9.506043
36.772665,206,9.586981
38.533035,219,9.674553
16.751082,198,9.753434
67.751716,284,10.224529
31.326985,243,10.3212
55.911018,257,10.424952
59.878475,297,10.544096
58.518952,251,10.650098
42.103342,250,10.753362
26.881988,186,10.826574
65.84075,270,10.939007
49.553734,233,11.384013
46.48584,221,11.477561
19.48373,197,11.557625
45.392549,262,11.667439
33.302462,204,11.751654
125.849824,403,11.929124
50.603546,239,12.031823
82.503242,308,12.159547
36.848694,204,12.575934
67.266745,295,12.710841
31.671858,196,12.787537
54.632705,239,12.880517
54.974939,253,13.000887
39.927341,220,13.086143
31.664643,225,13.178363
60.943112,266,13.291725
36.641609,212,13.373373
39.411427,216,13.818962
35.80563,201,13.901272
35.385694,201,13.984358
24.464236,190,14.058887
48.904167,235,14.152812
