#{"t_start": 1776809368.167373, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
39.711594,224,0.719807
31.279824,198,0.814648
25.80435,189,0.897748
51.631417,264,1.02964
39.716568,215,1.132542
42.673844,223,1.24232
61.059559,268,1.36415
49.804727,233,1.471912
31.741756,205,1.565758
44.453688,223,2.157145
35.618293,236,2.263124
52.123007,265,2.392592
54.692243,241,2.511119
65.38128,283,2.650079
38.606802,244,2.763759
41.20746,210,2.858934
33.247755,203,2.950276
38.768884,244,3.524897
87.851243,323,3.687878
35.212624,196,3.776508
20.815511,186,3.859335
34.981664,236,3.966046
35.270166,204,4.057249
33.671894,236,4.171547
74.062562,285,4.303842
33.694757,200,4.394537
26.424012,208,4.976085
42.520624,218,5.069663
39.897306,211,5.157707
25.573179,217,5.245195
28.863152,202,5.326217
35.937993,227,5.415496
27.952344,194,5.491002
34.429527,205,5.574528
48.79858,228,5.665755
30.251221,187,5.740185
26.60332,221,6.220688
71.313777,301,6.34756
29.128332,224,6.434968
115.759297,401,6.612127
26.647669,221,6.699305
30.579971,207,6.78265
52.554828,230,6.876899
28.433776,193,6.953851
55.17978,260,7.409811
38.817309,228,7.502005
43.233994,219,7.588241
37.109395,263,7.698085
20.681531,208,7.785216
27.289061,220,7.87769
41.181901,242,7.973049
42.49113,213,8.059877
50.923011,250,8.166316
39.226153,221,8.596656
23.487574,214,8.682871
54.842772,246,8.785348
35.506365,212,8.873644
41.043605,254,8.985112
59.754139,251,9.09051
60.718948,311,9.220875
58.64987,281,9.342574
63.632736,269,9.801377
26.388163,189,9.874973
33.010395,205,9.954683
60.843982,259,10.059288
36.910235,221,10.151629
31.761662,242,10.251537
21.082849,218,10.340451
46.846111,254,10.447464
46.233474,237,10.54378
50.539573,235,10.991838
58.793565,246,11.095207
36.797297,205,11.175546
32.515306,199,11.254217
31.212229,198,11.331805
63.09972,261,11.440966
42.567765,218,11.525463
23.630462,189,11.606625
33.74954,203,11.689993
33.860049,238,12.141451
60.785129,265,12.251701
33.672965,201,12.332262
50.26136,243,12.434901
24.423793,182,12.50414
21.593787,187,12.578276
54.339461,278,12.694972
44.77109,232,12.792351
42.392393,248,12.899553
27.677911,221,13.337443
38.880398,214,13.423989
64.487739,283,13.546929
26.560887,190,13.620371
32.506027,234,13.714911
36.851283,208,13.797306
47.877622,228,13.895932
34.90775,229,13.993066
50.958983,234,14.087748
31.655947,189,14.505397
33.238054,236,14.606191
50.322931,278,14.727551
57.374931,251,14.834289
26.768668,183,14.90571
42.010614,224,14.996719
42.355333,226,15.085752
42.246143,215,15.175633
36.136695,229,15.272128
51.084224,239,15.716436
19.404052,184,15.787589
44.564658,242,15.893873
47.783234,237,15.991222
40.042628,230,16.091039
33.170927,201,16.173937
38.240777,244,16.276302
39.552184,255,16.38109
62.522008,267,16.486733
49.501487,230,16.933121
40.848014,209,17.014911
40.598266,213,17.097946
27.102641,192,17.172878
34.1629,227,17.266996
38.842937,219,17.355277
54.977266,244,17.454785
38.21188,204,17.53612
33.44179,209,17.61964
23.809367,192,17.696853
56.42996,261,18.158114
25.433293,189,18.228898
43.719688,274,18.35276
49.179007,243,18.460029
31.772071,194,18.538785
47.356703,227,18.635703
33.645259,235,18.734127
53.572115,257,18.849259
54.000818,250,19.302196
37.710274,219,19.395926
38.080449,231,19.488843
45.280941,230,19.584464
43.846956,231,19.681029
53.35599,236,19.779589
42.459346,214,19.870242
49.718791,254,19.984638
48.092834,270,20.100392
41.974354,223,20.533784
61.905511,265,20.64891
49.449355,223,20.743587
44.166492,233,20.896564
47.776043,227,21.001409
36.893998,208,21.083344
26.780888,208,21.172265
45.814046,228,21.27733
39.855743,205,21.360113
31.320159,201,21.790068
63.798866,258,21.911447
73.289025,310,22.062742
50.353734,239,22.171839
83.781531,351,22.338817
35.540521,217,22.427734
80.469749,336,22.570839
47.185669,241,22.673613
34.617061,209,23.106165
72.134985,285,23.225659
23.544526,213,23.322846
42.007673,251,23.425368
59.680863,259,23.533865
41.125095,225,23.628859
34.247292,220,23.722355
51.759215,238,23.819914
35.408879,208,24.261121
55.563337,252,24.368844
41.661167,213,24.451658
21.400143,193,24.531345
49.279637,253,24.638944
52.746163,289,24.763605
71.831737,283,24.883841
56.562026,266,24.99634
51.652846,231,25.090596
81.201137,306,25.572607
51.879834,234,25.669208
51.54562,241,25.764225
48.389809,224,25.859602
139.63554,462,26.061
62.027551,259,26.16982
62.372736,264,26.279465
82.506656,331,26.778225
29.280345,197,26.857222
31.015168,200,26.93955
39.747825,210,27.024064
89.909108,337,27.169616
105.45794,353,27.329788
53.318399,235,27.424423
40.703863,226,27.517736
37.241744,207,27.952795
65.505872,293,28.084079
41.392154,217,28.173399
31.497492,204,28.253936
104.456942,364,28.415416
43.230024,218,28.511824
37.208005,211,28.598208
52.577075,236,28.692513
40.780621,211,29.129139
60.047064,255,29.235188
40.772142,212,29.322911
44.412319,218,29.410813
52.155472,242,29.509266
76.472366,319,29.644852
56.308865,242,29.742396
36.235177,205,29.826968
35.847039,204,29.913353
32.750216,202,30.343192
54.968468,241,30.442186
91.656421,348,30.595285
43.764107,221,30.685353
42.376932,223,30.777447
48.281568,241,30.877127
75.789983,288,30.997619
50.383465,235,31.09309
