#{"t_start": 1776810759.4779, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
35.958278,260,0.112339
35.429075,202,0.190106
33.564314,217,0.277972
38.093299,215,0.361967
16.362405,210,0.445014
32.305185,264,0.552963
15.346074,227,0.642867
42.897856,235,0.737508
53.544299,258,1.18029
64.058906,346,1.332675
50.342512,265,1.439139
29.972863,247,1.536399
29.318596,205,1.61919
28.354514,189,1.691222
34.718582,201,1.768904
27.13389,190,1.842007
25.045434,188,1.911873
16.00451,225,2.345282
58.565672,257,2.44887
51.814489,277,2.572327
28.446464,257,2.680023
40.718514,226,2.770031
35.361447,231,2.865211
36.432719,269,2.973736
16.218292,208,3.056129
43.357687,271,3.172734
26.749001,243,3.610072
69.63791,351,3.760634
70.554945,315,3.892449
33.553256,197,3.970974
25.508463,188,4.042916
26.856179,197,4.116396
70.256137,330,4.261146
17.902922,190,4.336148
26.174112,197,4.749362
25.950737,193,4.822258
32.744087,235,4.918861
35.023002,230,5.007367
29.990833,206,5.08618
37.73374,207,5.165368
18.499504,176,5.228817
46.452684,311,5.360423
25.905608,227,5.452589
27.292394,192,5.863922
21.197378,224,5.955696
31.566355,209,6.035866
40.806505,238,6.130945
44.706528,232,6.221989
65.820459,339,6.370083
45.455926,254,6.4785
19.969752,178,6.545899
30.480337,198,6.624028
25.952847,182,7.02646
48.622281,327,7.165191
33.811892,216,7.249287
18.848861,223,7.336334
15.735902,205,7.414185
44.548588,231,7.504204
27.554386,204,7.582625
38.877396,222,7.67115
20.939207,190,7.741842
38.256637,277,8.190673
26.013034,191,8.262392
36.975862,208,8.342514
25.520503,187,8.413996
28.345957,197,8.491836
26.745425,193,8.566759
26.5071,191,8.639345
25.66814,187,8.708408
33.101201,201,8.786475
37.400293,217,8.869466
33.429707,223,9.292588
25.887038,184,9.36302
22.147625,180,9.430723
64.364266,296,9.553968
31.329964,248,9.670316
22.246343,207,9.752462
30.409182,195,9.826689
22.210917,179,9.896082
47.469974,267,10.006088
26.983295,183,10.073869
22.818337,184,10.478213
25.436705,185,10.548705
43.761816,241,10.653243
40.894714,234,10.747345
67.269366,294,10.869045
38.030663,212,10.951372
42.599426,228,11.050105
42.075165,238,11.145343
26.418861,199,11.219583
21.98233,217,11.645296
25.900655,193,11.720348
28.092869,192,11.792342
42.228062,232,11.88324
42.354684,229,11.973658
44.100928,239,12.063814
43.004193,292,12.187828
37.557514,214,12.272309
29.384019,193,12.344509
34.191992,207,12.773322
49.989379,250,12.876799
42.636928,240,12.970269
31.453371,211,13.052601
46.732835,244,13.153288
42.85288,291,13.273938
38.507491,215,13.357685
35.653041,209,13.438165
33.931751,206,13.516469
62.237888,317,13.991876
32.50771,217,14.077849
35.308851,212,14.160312
31.385777,273,14.279837
48.540681,231,14.371153
25.360033,242,14.468783
41.735649,226,14.55933
26.043703,242,14.666355
36.240057,211,15.082761
39.16866,208,15.163307
50.268579,272,15.27342
21.991823,181,15.340664
30.892224,197,15.417083
34.012621,263,15.525452
28.379214,246,15.630999
18.194067,223,15.719892
28.653156,201,15.799879
34.295509,210,15.881149
17.261197,204,16.292534
39.733677,279,16.409199
59.142797,312,16.542774
34.573794,202,16.624544
33.367505,204,16.703422
42.015822,233,16.799618
32.449698,210,16.879648
38.87818,237,16.977492
33.401569,201,17.426124
35.056365,219,17.516289
15.620467,218,17.603946
33.571015,194,17.678933
34.958877,205,17.758277
18.002824,233,17.851074
25.567679,239,17.949481
25.485495,251,18.052788
23.28862,246,18.155782
32.806075,197,18.231668
27.533378,245,18.669974
46.734791,232,18.767012
24.294947,176,18.831214
55.44358,246,18.93188
31.622175,197,19.007953
32.938438,202,19.087153
33.987214,210,19.169609
39.984368,217,19.252147
32.975291,202,19.3289
53.97707,262,19.774428
44.723671,226,19.863712
34.575551,210,19.943391
34.15559,204,20.023637
58.180819,287,20.150176
34.35794,204,20.231684
41.80198,222,20.319536
32.445124,205,20.401474
33.073824,216,20.490334
40.798851,249,20.954027
41.418364,223,21.040662
42.838722,222,21.131591
49.230033,240,21.232339
43.211717,233,21.325416
20.938473,184,21.39744
27.200856,194,21.472743
35.354824,230,21.567924
31.088304,194,21.646774
30.423343,195,21.726519
42.319663,234,22.154782
47.387674,264,22.264302
43.098338,263,22.37287
36.147356,207,22.452202
39.756376,223,22.539429
53.019,274,22.654723
27.100905,203,22.741129
41.855689,272,22.864647
38.795922,224,23.288258
50.54559,238,23.384874
26.165203,195,23.45993
41.399541,223,23.54482
18.973814,214,23.636904
28.783938,210,23.733076
27.882176,203,23.815937
22.561474,179,23.885949
24.037922,188,23.956897
37.205179,210,24.040395
34.51511,213,24.456124
28.388512,194,24.541015
26.647434,191,24.612945
44.221048,250,24.72071
