algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,106.83397863195073,406,0.037782958408258745
ppo,0,1,101.38630718167536,390,0.03995067449701527
ppo,0,2,101.38630718167536,390,0.03995067449701527
ppo,0,3,101.38630718167536,390,0.03995067449701527
ppo,0,4,101.38630718167536,390,0.03995067449701527
ppo,0,5,101.38630718167536,390,0.03995067449701527
ppo,0,6,101.38630718167536,390,0.03995067449701527
ppo,0,7,101.38630718167536,390,0.03995067449701527
ppo,0,8,101.38630718167536,390,0.03995067449701527
ppo,0,9,101.38630718167536,390,0.03995067449701527
