#{"t_start": 1776810260.621354, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
35.525724,224,0.654112
31.261428,198,0.730954
23.873261,189,0.80502
35.737112,264,0.918649
41.71739,215,1.008805
28.378765,223,1.102072
52.892503,267,1.211544
36.946584,269,1.327089
30.171594,203,1.757696
41.824104,229,1.850406
47.322054,238,1.945912
31.515746,237,2.042488
30.32366,226,2.138186
57.976274,282,2.255979
27.495521,247,2.357823
36.348663,206,2.438644
25.588332,185,2.512354
17.351118,211,2.943843
32.801634,206,3.028439
36.281371,260,3.140185
18.880599,217,3.225663
25.329069,236,3.323142
49.386698,239,3.420894
20.370781,177,3.490174
42.283198,241,3.589944
47.281467,244,3.689487
21.863715,180,3.757347
27.351647,190,4.166581
34.976486,300,4.289558
12.73243,199,4.369064
37.004017,259,4.480106
39.258338,208,4.56137
38.99065,210,4.642892
46.351854,298,4.773972
35.088363,260,4.888226
46.621341,222,5.313776
31.796471,194,5.387662
50.492047,248,5.490589
16.256864,227,5.582736
27.802103,195,5.658337
23.923883,234,5.752364
40.58577,213,5.838762
31.011803,244,5.935581
11.399587,203,6.014681
45.404435,303,6.494607
47.381352,257,6.599678
45.776805,253,6.702877
21.124235,232,6.797564
36.853979,207,6.883862
29.417609,234,6.981911
23.221658,180,7.049495
28.733873,193,7.123219
13.958287,197,7.199206
34.878744,227,7.632856
36.841112,277,7.749449
39.49327,214,7.834491
16.600012,172,7.898347
32.408884,204,7.983484
15.321993,205,8.06644
24.063553,183,8.136244
36.0487,262,8.246433
25.032206,184,8.315872
16.7798,212,8.40241
39.728363,223,8.842707
26.473766,217,8.930215
35.328391,208,9.011812
42.764958,230,9.101034
33.431426,260,9.208354
56.328632,323,9.343589
58.029189,290,9.462552
24.83919,191,9.546988
49.403946,263,9.988229
24.603861,183,10.057311
30.370347,201,10.13387
23.203564,181,10.201139
50.124806,284,10.320466
32.493183,214,10.408062
20.813026,185,10.482675
26.576951,250,10.584004
49.43075,243,10.686545
43.506718,256,10.788305
27.68682,193,11.20588
38.928713,220,11.293852
29.409279,188,11.367282
31.803863,197,11.445452
30.041793,190,11.521117
28.418343,192,11.597584
41.114703,214,11.681462
29.523102,187,11.751687
39.371646,221,11.839943
37.768273,213,11.92204
20.505706,183,12.366614
32.187406,196,12.441366
50.928413,231,12.534626
26.200762,189,12.606996
62.523782,337,12.749047
27.620582,191,12.821632
43.627382,225,12.910832
19.573407,207,12.99405
29.668072,243,13.093404
34.251801,206,13.511857
46.763356,246,13.614737
50.358649,261,13.724943
19.365319,214,13.809773
26.864562,190,13.883888
28.168896,194,13.960511
26.895529,188,14.033769
30.945167,195,14.109417
52.545471,266,14.217828
59.190373,282,14.679551
38.687966,227,14.770174
39.536101,224,14.86184
28.086496,191,14.934735
18.955828,210,15.019152
27.163823,183,15.088906
42.989475,229,15.180832
38.456705,228,15.271184
21.401635,178,15.337301
43.049067,290,15.809905
42.346316,230,15.904637
54.255084,254,16.008646
32.578455,204,16.089046
25.333585,238,16.188977
30.014574,190,16.262846
40.90464,227,16.354241
26.448747,193,16.431323
49.188974,246,16.531145
25.266473,194,16.612822
58.101785,260,17.054186
34.026017,199,17.146863
17.241436,182,17.218956
34.323825,243,17.321549
30.011654,250,17.426593
33.352466,209,17.509105
48.81892,244,17.612315
40.822672,221,17.702158
28.288051,196,17.779503
29.949203,196,18.193896
34.382435,216,18.283718
24.710227,222,18.37186
30.330641,194,18.448413
37.230624,203,18.52859
37.665154,213,18.618977
32.691022,281,18.736205
38.785709,227,18.830356
107.490608,408,19.35617
33.46954,263,19.475993
30.560428,213,19.566136
35.763258,243,19.670223
39.037812,209,19.751715
22.627673,184,19.823201
40.218149,238,19.919775
34.128441,247,20.021983
32.812645,199,20.100659
42.598598,262,20.552714
29.403205,189,20.630196
62.037773,312,20.762815
36.90757,225,20.853222
33.10376,195,20.931669
52.071589,251,21.036499
31.325969,199,21.11272
25.198635,184,21.184415
33.050522,198,21.261094
57.895237,271,21.375074
56.846779,273,21.830999
54.577971,258,21.938457
30.794661,191,22.013389
46.451657,244,22.113747
35.666331,227,22.209025
36.911271,231,22.303355
18.617745,209,22.385978
46.228932,248,22.482845
46.267,217,22.908885
53.356571,290,23.034897
24.556692,194,23.108441
41.372332,231,23.208782
46.770869,249,23.310402
44.408597,227,23.405807
64.757597,305,23.536898
30.861986,197,23.614596
31.824169,209,23.701167
33.799859,205,24.119609
39.059941,218,24.210493
41.290918,220,24.298415
34.143167,216,24.385583
39.635801,214,24.474274
18.350084,206,24.557583
33.798003,207,24.64249
31.072545,197,24.718953
57.990574,277,24.8317
37.591828,222,25.2528
48.708859,250,25.352266
43.425148,223,25.444318
37.072968,210,25.524411
30.33069,205,25.60863
46.227621,245,25.70834
31.869914,198,25.789059
33.688912,196,25.866251
52.126485,347,26.018187
31.675552,204,26.494525
44.750381,236,26.593327
39.864997,219,26.684013
35.63485,205,26.764516
37.741463,209,26.847347
34.056746,214,26.932319
23.348813,228,27.026058
48.696319,253,27.132757
45.381058,251,27.231441
51.974297,234,27.66884
56.075862,270,27.779464
45.009503,232,27.874296
42.336976,223,27.966703
34.064503,202,28.049426
35.012541,273,28.16201
35.025238,202,28.240681
28.596696,200,28.317237
31.625253,254,28.427891
43.802281,245,28.870883
59.47829,267,28.982786
26.917829,211,29.068204
44.496801,250,29.173283
39.767428,225,29.26433
28.041852,192,29.338936
32.295749,211,29.424647
47.863118,252,29.526251
29.9305,216,29.629502
28.158839,187,30.072981
61.821618,290,30.197457
57.881873,326,30.341596
24.911396,192,30.415712
56.177611,254,30.525346
31.937957,195,30.602907
36.243267,215,30.692549
43.978112,244,30.794466
50.568121,244,30.901538
42.462212,292,31.441231
33.407596,260,31.555324
46.234333,234,31.655492
23.813238,174,31.721099
27.911623,182,31.888505
56.161346,272,32.007692
56.121642,254,32.119193
49.866843,252,32.224923
38.498428,219,32.858679
28.766232,199,33.009771
36.656068,221,33.206932
27.178781,191,33.341651
47.187246,237,33.515414
39.173158,225,33.675383
28.344075,186,33.797477
39.778939,218,33.946381
49.111522,256,34.102567
58.438811,264,34.86075
36.147895,213,35.007922
29.728941,185,35.13207
76.133884,326,35.348585
38.584683,217,35.499428
33.712249,202,35.637282
60.894215,295,35.850064
46.958377,244,36.021038
