algo,seed,episode,episode_return,episode_len,mean_forward_speed
ppo,0,0,197.86295592984197,691,0.035619113151295574
ppo,0,1,153.81213805272847,622,0.040639120949775336
ppo,0,2,412.57463989184646,1354,0.019257477090638596
ppo,0,3,311.3307963680025,1044,0.025796154141294988
ppo,0,4,68.02687571533406,322,0.08444633056218678
ppo,0,5,505.12931279411595,1653,0.015530654642537096
ppo,0,6,333.13022545131173,1116,0.023384035777524802
ppo,0,7,283.7012421551501,972,0.028968892181094462
ppo,0,8,511.56247534220006,1658,0.01809691978862227
ppo,0,9,156.7888695898065,601,0.043839770157129636
ppo,1,0,607.0001320320398,2000,0.002691724930851466
ppo,1,1,124.00244083284657,463,0.05698446883156745
ppo,1,2,616.5979466802032,2000,0.0017336506016285183
ppo,1,3,449.1241262966173,2000,0.0007100738122239553
ppo,1,4,194.13189974316396,699,0.04113880909424163
ppo,1,5,164.2596725498678,610,0.04546590394338882
ppo,1,6,114.58846373175165,437,0.06593424056267248
ppo,1,7,569.4123548657395,2000,0.000676374311020389
ppo,1,8,150.6892248943241,524,0.05642536888337042
ppo,1,9,59.228298703875026,286,0.09800748086984103
ppo,2,0,175.89159218274474,652,0.03862286742877551
ppo,2,1,262.5412589508143,891,0.012439276879364402
ppo,2,2,208.21206883041873,741,0.03733323435703535
ppo,2,3,96.52054411814208,411,0.06312039488904296
ppo,2,4,239.6250150724425,884,0.025002555851477627
ppo,2,5,258.46825404026487,856,0.03402727685209372
ppo,2,6,379.1106814096512,1212,0.02093777815911207
ppo,2,7,412.85609845282875,1373,0.01919276405981271
ppo,2,8,346.4094834119348,1138,0.02285936838486196
ppo,2,9,307.16291772296523,1057,0.024632278858808553
