#{"t_start": 1776820562.901875, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
3.130007,207,0.566502
20.258287,247,0.671604
5.898836,167,0.738947
16.985212,230,0.839627
5.971989,170,0.909603
6.906319,173,0.977393
6.407296,174,1.047493
3.729038,150,1.105318
28.919779,246,1.209703
9.143448,202,1.294435
4.294674,155,1.69759
4.125544,167,1.763718
4.251376,159,1.82575
34.417511,289,1.960891
11.294933,231,2.064235
3.375776,165,2.128537
5.397623,164,2.19376
12.916927,202,2.276
7.997668,175,2.343969
19.769244,261,2.455053
14.707682,196,2.874424
24.165646,278,2.998674
21.634649,240,3.104996
3.688916,150,3.161915
18.239996,218,3.254767
14.002185,183,3.328229
2.29329,168,3.39455
5.754804,171,3.461026
3.928841,168,3.527675
2.933433,228,3.630297
3.080423,151,3.687229
15.568135,202,4.107698
11.716252,209,4.196616
3.56812,156,4.256305
16.753663,205,4.342273
2.497834,153,4.401461
3.267238,185,4.476646
33.822111,320,4.621168
16.597235,220,4.716596
31.446552,280,4.843959
25.950118,246,5.299895
6.272039,169,5.365903
4.911718,230,5.463256
12.541571,196,5.540979
12.554221,205,5.626569
13.795507,223,5.726393
15.411558,209,5.815599
4.285161,163,5.882126
4.62135,186,5.960265
19.639939,217,6.049366
20.187409,244,6.488417
16.12283,196,6.567188
10.228288,188,6.645031
22.142348,235,6.746434
27.175354,229,6.845553
24.950907,252,6.955049
19.438194,204,7.039039
20.557464,216,7.130744
2.919115,152,7.187824
38.557587,302,7.322155
23.501597,222,7.746657
22.4029,212,7.837434
15.343926,189,7.917546
4.723609,190,7.996989
31.372746,273,8.120065
18.273798,227,8.221628
13.774771,195,8.308398
28.218729,235,8.409505
20.618462,215,8.501565
19.031876,206,8.958128
21.770829,207,9.043322
30.948505,242,9.147889
17.213797,206,9.232254
16.195648,209,9.318672
32.605614,285,9.447148
13.547532,184,9.518953
14.916055,189,9.594216
15.764275,210,9.681837
17.24538,197,9.764436
10.543504,206,10.190757
14.910755,192,10.270807
12.872802,183,10.342633
11.83316,190,10.421774
13.297544,191,10.50356
7.985307,170,10.568822
19.206987,226,10.667645
23.733938,232,10.768301
17.611259,198,10.848585
10.253805,185,10.924619
13.07617,195,11.335603
16.066948,220,11.427883
15.180725,192,11.504865
13.735064,226,11.599757
14.227066,185,11.673823
5.52391,172,11.742678
18.893313,203,11.8277
16.179878,301,11.963378
30.803963,261,12.078562
17.500303,203,12.498461
18.018542,202,12.582778
28.634333,320,12.72524
20.889925,220,12.815697
26.336296,231,12.916718
22.213258,239,13.019501
14.791316,203,13.106528
17.484545,214,13.198372
15.909698,198,13.278215
9.136073,216,13.703075
12.960374,206,13.791333
15.442715,203,13.875821
33.916803,298,14.017741
17.453368,223,14.112552
33.187967,282,14.243021
26.732455,262,14.358206
22.208124,263,14.471863
17.364711,199,14.555447
27.746985,250,15.012471
16.181668,197,15.092627
34.449407,259,15.209555
22.847978,230,15.307248
21.978765,257,15.421418
15.128601,204,15.507874
9.283769,190,15.584367
31.259399,267,15.700612
19.302161,220,15.796072
21.664768,227,16.228087
52.03067,339,16.378584
13.978663,202,16.462806
13.294252,187,16.539229
12.84423,209,16.628045
21.45627,229,16.725927
19.756127,217,16.818995
39.185947,298,16.959154
42.657067,314,17.429221
24.991632,224,17.527573
20.564453,229,17.624874
23.216297,222,17.718093
29.333855,274,17.841697
14.256959,201,17.92851
18.915019,213,18.019086
16.885157,198,18.102407
11.96783,186,18.176659
16.240636,195,18.254184
16.689176,209,18.67554
22.228934,241,18.779186
13.201962,226,18.8791
16.184777,201,18.967045
4.818603,168,19.034124
18.260213,198,19.115336
6.741923,184,19.192539
15.460086,206,19.281905
41.181305,324,19.43468
22.121722,212,19.863305
37.156746,275,19.994987
26.205929,240,20.100304
24.081586,232,20.202894
15.611295,232,20.305421
14.995479,231,20.405705
13.953206,197,20.485845
35.141413,275,20.60765
19.792779,218,20.70124
23.098555,269,21.164945
25.849519,239,21.266555
33.974268,288,21.39674
31.897387,279,21.524252
13.113132,196,21.609353
7.810619,176,21.680777
23.598303,230,21.778631
18.888146,210,21.868735
24.736613,233,22.304846
14.732211,209,22.395513
34.664234,262,22.508451
8.673467,279,22.63542
41.109496,282,22.761486
18.017988,197,22.841034
17.599194,218,22.934082
8.46242,195,23.012887
29.746883,249,23.118796
26.912027,253,23.565362
82.192789,469,23.775067
20.801902,241,23.877966
10.019203,192,23.961477
25.999525,230,24.05995
27.97924,241,24.166505
17.996896,207,24.250196
17.68838,220,24.34369
19.172987,202,24.760511
22.10769,218,24.85531
22.600474,219,24.947712
28.919415,236,25.04833
29.658106,239,25.150323
37.072363,290,25.276633
9.799565,212,25.367901
17.448218,221,25.496512
27.142504,273,25.620631
28.943939,236,26.060025
13.221731,186,26.140379
25.532669,227,26.237178
12.519183,216,26.325768
73.48254,436,26.527548
30.843031,247,26.632556
29.462313,258,26.741289
5.86106,202,26.824463
27.875766,240,27.261626
29.448466,242,27.364123
37.444003,286,27.48682
29.693214,282,27.613113
23.650643,220,27.704893
18.57313,267,27.824947
36.852299,341,27.985332
32.204138,375,28.496514
37.425987,268,28.610231
21.984274,215,28.699749
7.872446,177,28.770401
23.912628,222,28.863148
49.86566,335,29.021944
17.194082,277,29.1447
26.311092,243,29.249857
16.588036,205,29.66757
11.760454,185,29.74083
20.704996,221,29.834753
34.395812,292,29.965609
18.656429,226,30.06655
9.56973,175,30.136975
22.89851,229,30.235153
21.845216,226,30.330691
64.164379,368,30.500035
30.615669,301,30.976366
71.73359,406,31.161673
17.94281,195,31.240369
31.21956,256,31.354439
27.577755,236,31.461395
39.166043,296,31.596422
39.984287,319,31.741528
18.981546,214,32.168419
15.205739,229,32.267858
21.517538,209,32.354921
23.958543,229,32.453794
22.368246,238,32.551559
54.045207,349,32.71377
62.163713,392,32.898303
10.636747,246,33.009181
29.386065,239,33.447942
35.638819,272,33.567132
25.79048,269,33.684606
72.352069,415,33.876157
33.832876,287,34.021205
33.910672,257,34.180987
17.602252,263,34.303701
30.491838,282,34.795081
48.121189,316,34.940902
36.919147,282,35.09195
43.567516,334,35.245786
20.1882,213,35.334131
83.971661,455,35.54624
33.536903,259,35.659747
37.219945,270,36.120228
34.835445,265,36.235508
14.917454,235,36.338527
68.971167,375,36.516161
48.059902,325,36.661296
33.748341,270,36.784424
77.523577,503,37.357715
17.865469,202,37.438386
48.005848,307,37.579926
25.241589,255,37.696973
48.948632,335,37.844114
32.296101,272,37.968725
21.525973,213,38.060557
38.325853,273,38.181169
27.15691,232,38.61361
23.795815,227,38.708742
24.315682,227,38.804107
45.47105,331,38.956798
15.292952,190,39.039452
24.413834,222,39.130552
35.11159,269,39.247789
21.309889,297,39.382899
97.421049,464,39.968127
21.281182,209,40.055863
32.295335,247,40.159862
30.943803,248,40.268709
19.712675,206,40.35346
31.81612,293,40.482825
9.825502,215,40.572784
67.138314,382,41.0855
45.797058,336,41.233623
29.745913,242,41.335256
89.086669,472,41.548633
25.934059,235,41.646232
48.10756,363,41.807895
33.126192,265,41.924491
27.301033,305,42.399483
16.443247,219,42.494194
23.085378,218,42.585075
24.922896,237,42.68608
54.257957,337,42.835382
31.132555,253,42.939548
30.983439,252,43.050789
16.969434,198,43.131445
53.324474,353,43.624578
32.553797,245,43.728054
158.271379,731,44.083297
42.138017,282,44.208461
26.119948,235,44.306278
62.852126,390,44.815888
39.800885,285,44.939694
81.110642,423,45.138997
39.524879,277,45.260857
53.337001,343,45.414925
32.804523,311,45.556942
98.503493,487,46.145484
40.327943,277,46.267097
115.430274,577,46.551481
45.402018,314,46.693353
64.856384,401,46.871887
87.749327,467,47.416335
37.443327,265,47.528473
17.402091,205,47.611774
76.055465,457,47.86097
73.539878,472,48.081363
19.132453,229,48.176877
84.737006,439,48.741773
38.602249,272,48.859582
23.869393,218,48.951198
32.897582,258,49.064449
56.783039,353,49.218963
31.096206,255,49.328792
40.209392,268,49.443141
63.229052,363,49.948831
76.027823,445,50.158903
56.468807,365,50.319899
57.484807,344,50.478017
47.587989,319,50.617099
