#{"t_start": 1776820541.19008, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
3.130007,207,0.680437
20.258287,247,0.788712
5.898836,167,0.855946
16.985212,230,0.954832
5.971989,170,1.023508
6.906319,173,1.092989
6.407296,174,1.16265
3.729038,150,1.220212
28.919779,246,1.325172
9.143448,202,1.412108
4.294674,155,1.829229
4.125544,167,1.896186
4.251376,159,1.95746
34.417511,289,2.089894
11.294933,231,2.193265
3.375776,165,2.258194
5.397623,164,2.323177
12.916927,202,2.406948
7.997668,175,2.479417
19.769244,261,2.592686
14.707682,196,3.007512
24.165646,278,3.131823
21.634649,240,3.237876
3.688916,150,3.294386
18.239996,218,3.388019
14.002185,183,3.463533
2.29329,168,3.532251
5.754804,171,3.599675
3.928841,168,3.665917
2.933433,228,3.768011
3.080423,151,3.824312
15.568135,202,4.238108
11.716252,209,4.327229
3.56812,156,4.388093
16.753663,205,4.477474
2.497834,153,4.538069
3.267238,185,4.614036
33.822111,320,4.761882
16.597235,220,4.86139
31.446552,280,4.988526
25.950118,246,5.430549
6.272039,169,5.498145
4.911718,230,5.596869
12.541571,196,5.676111
12.554221,205,5.762411
13.795507,223,5.859621
15.411558,209,5.949609
4.285161,163,6.013218
4.62135,186,6.090485
19.639939,217,6.180891
