#{"t_start": 1776888569.6757069, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
10.5678,243,0.113012
4.379212,166,0.176813
7.075785,201,0.261182
8.780342,187,0.341334
3.392224,162,0.4075
15.118297,213,0.495951
8.145722,183,0.569148
11.826031,198,0.648174
6.879837,188,0.724297
26.879755,277,0.849493
14.426663,201,1.274
3.908944,163,1.338052
13.000465,219,1.432211
21.722082,281,1.559504
18.007941,256,1.672198
2.203801,155,1.731322
5.784851,176,1.801015
1.591268,143,1.85382
3.590695,162,1.916971
3.580132,165,1.979893
2.318945,144,2.03256
10.800964,202,2.453372
9.734023,193,2.534001
3.222671,168,2.598719
12.979132,198,2.679701
8.86708,192,2.757834
4.17435,183,2.83406
0.411504,207,2.924205
18.921026,223,3.019516
13.122675,202,3.102961
8.777407,180,3.174733
10.35966,190,3.601213
12.296466,208,3.691033
2.8093,153,3.749515
19.736373,286,3.877688
3.717479,191,3.956185
5.763225,173,4.027011
2.636996,153,4.085649
15.16477,223,4.181865
13.932623,214,4.270407
24.120254,318,4.418241
14.623105,275,4.885267
15.332664,233,4.982893
9.481584,183,5.056782
1.55686,178,5.128563
2.725836,158,5.188664
5.415797,173,5.256968
24.757269,256,5.377209
7.87258,186,5.452067
21.06291,277,5.572835
5.601113,185,5.983843
2.301853,146,6.03867
13.956637,221,6.136368
4.973805,167,6.202757
19.831314,253,6.313325
27.444261,288,6.487411
12.176004,199,6.575617
20.022843,245,6.682171
17.994599,230,6.779497
4.646972,169,6.844949
4.009891,185,7.357301
4.842383,171,7.447501
9.92683,297,7.589253
7.780895,208,7.67702
2.949478,155,7.7361
8.558968,182,7.807968
11.743405,242,7.912336
5.244878,188,7.988146
13.807021,212,8.075935
15.249625,251,8.180768
14.154924,206,8.616833
8.055857,209,8.704917
16.391451,215,8.795758
14.008947,211,8.881967
8.071812,181,8.95392
9.445927,189,9.032775
14.267414,209,9.127115
7.26045,200,9.217993
10.384449,188,9.293804
7.001782,196,9.372883
8.238552,200,9.794441
14.328055,222,9.892959
18.017977,217,9.98709
8.90604,188,10.065376
11.757539,196,10.144896
9.128234,200,10.226753
3.245003,154,10.297111
9.188954,184,10.385537
15.238892,214,10.493811
3.633024,160,10.557213
11.560382,193,10.635566
12.977189,206,11.053335
5.931043,184,11.129562
7.226894,178,11.208819
11.423641,195,11.29618
8.560476,181,11.370788
12.672264,194,11.454743
14.913196,212,11.55037
12.05468,199,11.634179
9.382257,220,11.730955
2.296785,149,11.786778
23.933788,291,12.253063
7.290295,172,12.319925
11.620522,207,12.411138
16.111351,213,12.501493
3.687168,163,12.5649
12.609533,233,12.665057
10.813732,192,12.74163
7.797025,181,12.81959
10.018178,232,12.920559
15.759999,219,13.011568
5.547517,208,13.438674
13.206954,214,13.53151
12.081287,203,13.61276
4.611333,178,13.684245
14.36446,208,13.769477
10.06444,201,13.850888
21.413574,256,13.962582
13.159323,206,14.047699
