#{"t_start": 1776889295.311914, "env_id": "BDXCourseProjectImitation-v0"}
r,l,t
10.147245,205,0.087124
5.268166,159,0.141667
14.395955,232,0.22983
4.550981,201,0.304126
5.6094,168,0.363162
6.673867,171,0.421954
5.479332,165,0.478636
43.139275,415,0.655037
7.646542,183,0.722247
6.211726,194,0.79287
8.311925,185,0.859121
6.107321,177,0.921435
10.449134,197,0.99557
4.411304,183,1.062919
15.526229,227,1.148194
21.833072,286,1.267146
10.309847,187,1.334417
7.416751,187,1.400534
6.431259,176,1.464629
0.725042,157,1.518076
5.709123,166,1.575651
11.792822,207,1.65123
11.699108,213,1.728791
13.898627,231,1.815046
8.966803,179,1.879308
12.599809,218,1.962933
8.14277,194,2.03746
9.28264,205,2.11727
3.080324,169,2.177554
15.948837,241,2.273922
30.217048,345,2.422969
15.448399,214,2.50343
6.283867,248,2.604563
8.237909,232,2.69379
8.818766,202,2.771186
5.390996,196,2.842082
8.022561,195,2.913925
8.747044,178,2.976151
9.058321,188,3.083106
7.438999,204,3.163097
5.606034,172,3.225524
14.26157,231,3.317425
7.804409,175,3.380286
14.852324,269,3.4911
4.668865,186,3.560636
5.619697,170,3.620051
16.592565,247,3.720976
8.462917,182,3.786303
6.295983,177,4.397132
7.529566,235,5.848344
6.72575,175,6.976909
7.00552,214,8.316488
7.457031,203,9.573223
6.330812,172,10.557795
7.245221,179,11.582942
10.38213,209,12.793819
24.499216,279,14.530177
4.669478,162,15.578522
9.028795,234,17.082949
8.217086,186,18.266352
7.00233,214,19.625788
6.264905,167,21.069789
3.501222,165,22.136395
4.522805,172,23.106833
5.139254,173,24.281803
3.945286,180,25.393917
6.123955,164,26.319023
5.349786,213,27.526829
4.197196,166,28.463662
9.045875,224,29.767601
3.690809,177,30.77488
7.454625,183,31.810533
5.545173,181,32.847987
5.036927,171,33.814046
5.537533,174,34.825292
3.340485,172,35.802249
8.328,228,37.098775
-1.663858,189,38.1756
5.178519,237,39.524654
-0.364586,162,40.439592
2.363282,194,41.535168
5.307804,179,42.547531
9.883615,196,43.654209
7.495756,181,44.696199
7.527946,182,45.740346
8.488214,191,46.817413
6.737921,223,48.085763
-0.300023,176,49.076037
5.954031,213,50.291463
5.527869,187,51.346613
4.266585,166,52.283496
5.793795,180,53.302215
2.228593,175,54.315176
3.56499,171,55.321784
3.772597,170,56.277766
7.04149,191,57.368014
7.265773,197,58.501332
2.249171,170,59.461852
1.475593,165,60.463851
1.96088,167,61.556531
4.891575,174,62.609366
5.411022,203,63.861391
4.111984,187,64.981889
4.468414,181,66.044392
5.668398,189,67.347107
2.685096,197,68.58741
3.539347,155,69.676292
1.854447,185,71.023739
4.249753,163,72.013364
3.556155,162,72.999818
3.975667,165,74.306035
3.319043,164,75.335312
-0.224641,186,76.419131
4.602249,171,77.404269
6.623568,166,78.343832
1.479967,192,79.453878
2.761252,170,80.428185
4.832247,194,81.539403
2.058318,175,82.552897
8.14222,202,83.716863
6.453863,192,84.860496
2.500299,181,85.891269
10.643727,203,87.052858
3.460097,199,88.213666
6.177482,181,89.261133
4.984098,177,90.280788
7.801905,198,91.430504
4.733418,183,92.496702
5.952455,195,93.695115
5.401753,173,94.841547
0.162434,176,96.028198
5.091449,176,97.046271
3.660153,168,98.009565
4.583166,171,98.978558
1.268688,184,100.03623
4.400551,170,100.998634
4.064542,190,102.087412
3.808944,194,103.214915
6.281778,177,104.2508
7.907984,187,105.39425
2.818215,173,106.458783
5.298275,193,107.594925
-0.04892,170,108.558995
4.862808,195,109.693636
3.565887,203,110.853401
0.522196,170,111.843049
0.247077,189,112.921491
0.661742,174,113.963283
7.882146,200,115.20413
1.697027,184,116.271555
1.357466,179,117.357583
0.692508,173,118.357112
0.774274,154,119.238313
1.430121,151,120.150066
0.84476,178,121.335909
2.489924,185,122.461894
-1.391491,196,123.748651
2.453491,181,124.887666
0.602449,168,126.036092
4.501513,161,126.97425
2.980902,167,128.03283
1.357415,166,129.284672
4.58233,157,130.265884
3.605615,176,131.328706
2.67791,164,132.270428
5.485077,197,133.396109
6.532344,204,134.579898
0.164377,186,135.663096
2.536724,158,136.554452
5.375129,173,137.595981
-2.02787,173,138.637757
3.794649,181,139.780546
3.168781,162,140.772769
4.578266,213,142.113571
3.855281,177,143.174781
7.105486,197,144.319547
8.253267,199,145.491644
6.555489,185,146.624197
7.933964,188,147.706436
5.324127,181,148.879088
5.518749,227,150.385942
5.528961,181,151.457138
10.52826,221,152.800579
5.383711,168,153.792254
6.855479,180,154.971601
-1.716086,189,156.304205
5.811415,188,157.529278
7.50199,214,159.004142
8.73449,192,160.307508
6.46441,180,161.33471
4.471886,191,162.755493
1.892341,150,163.638458
-2.907963,194,164.775262
3.424996,191,166.016336
-0.082659,151,166.871483
-0.210544,170,167.842509
-0.567002,165,168.813374
0.073469,147,169.898622
0.497086,152,170.939117
-1.267577,176,172.048047
-1.382941,165,173.147164
2.56971,170,174.196394
-0.90524,153,175.112941
-1.099288,153,176.09207
5.250182,209,177.467317
3.858955,175,178.73988
1.820211,198,180.224371
3.418886,172,181.312582
-0.021953,162,182.235074
1.518269,172,183.217951
3.794515,180,184.319423
2.225222,172,185.433252
4.573944,198,186.60487
2.135598,170,187.686562
8.342884,182,188.7428
4.836801,180,189.905298
5.002807,168,190.87679
0.181927,182,192.081498
3.985048,173,193.114713
2.822825,170,194.213022
4.262347,181,195.448529
4.007907,163,196.380141
3.333965,161,197.295114
3.993028,166,198.232644
3.987506,160,199.135755
3.515038,161,200.045711
4.588809,192,201.136678
6.171091,183,202.185625
4.520226,163,203.112027
3.945669,175,204.109082
3.678268,167,205.11582
2.758578,168,206.061639
0.689635,163,206.983026
2.339438,159,207.906392
1.198512,165,208.838417
2.103866,163,209.758706
3.741378,176,210.759325
5.850909,192,211.855498
2.943506,169,212.818351
3.651108,193,213.911534
2.661501,173,214.918553
3.592274,180,215.976707
3.296458,170,216.935488
4.089293,182,217.966908
3.834186,188,219.038277
9.702222,216,220.269631
0.532146,163,221.187409
2.490765,192,222.318391
9.315881,197,223.439477
3.122644,186,224.490067
8.079622,204,225.708184
-0.560672,164,226.631975
8.3528,194,227.739623
0.370426,184,228.780062
