#{"t_start": 1776901277.840102, "env_id": "BDXCourseProjectWalk-v0"}
r,l,t
59.571368,301,0.780316
46.633484,237,0.893474
73.387875,320,1.060003
120.216905,479,1.313617
93.101883,330,1.491922
133.442133,513,2.169706
45.517622,240,2.292447
52.589783,315,2.461558
46.207217,240,2.582161
48.749827,292,2.736748
100.930986,348,2.919823
140.973776,637,3.606624
91.260899,331,3.780195
173.074401,809,4.223008
111.431606,454,4.470422
63.24828,276,4.60438
70.206572,283,5.077708
62.589967,262,5.209511
68.9264,281,5.350095
75.216276,304,5.501068
79.938216,294,5.648231
35.467993,217,5.748027
68.486573,394,5.953335
64.652208,263,6.432301
96.725319,331,6.606096
56.218586,274,6.746109
97.934125,367,6.935705
48.795476,243,7.0499
81.488489,304,7.200236
151.787054,673,7.89968
58.217349,256,8.025947
101.182192,414,8.247443
55.800526,259,8.377587
96.246799,379,8.570059
80.513199,341,8.736419
90.198918,312,9.230019
72.887095,289,9.37689
67.778657,277,9.515029
101.833322,342,9.693417
108.63789,407,9.899962
103.452154,358,10.087911
56.09699,252,10.54779
60.132739,296,10.695206
74.117573,288,10.835765
123.835301,464,11.07765
114.636523,411,11.284945
84.708258,305,11.440287
72.819999,292,11.920548
87.094109,305,12.071807
58.779842,316,12.234989
103.274587,372,12.430835
68.559688,276,12.570397
75.59882,346,12.749378
91.225121,346,13.267311
61.987056,270,13.400257
78.744304,291,13.544605
105.081918,388,13.745769
47.374623,252,13.869478
79.999738,292,14.012682
66.280065,317,14.169912
137.883475,527,14.792287
148.867905,536,15.073743
30.88878,217,15.174742
71.091231,312,15.339225
136.939013,698,16.061283
83.481956,314,16.215361
55.160638,288,16.357184
37.838375,263,16.493094
96.516409,373,16.690684
66.071766,275,16.826241
93.88556,378,17.019296
195.878262,921,17.930241
73.857928,322,18.10479
82.637977,451,18.376783
133.839116,439,18.953093
109.423844,388,19.150733
131.575695,461,19.40163
59.19531,268,19.540134
45.998713,233,19.651903
65.523166,330,19.825542
69.712669,290,19.972791
124.811837,484,20.585195
66.25767,312,20.745467
80.321396,296,20.901172
138.730769,438,21.139062
141.01968,428,21.369395
103.230914,360,21.903001
58.592232,260,22.029876
55.28397,280,22.170149
77.704745,326,22.341732
52.280905,276,22.491132
67.607177,323,22.664828
71.696068,278,22.805472
77.942942,288,23.296835
90.308902,319,23.468512
95.394696,332,23.681744
90.273257,309,23.841896
57.950402,282,23.986315
64.846605,266,24.121433
73.798791,273,24.264128
75.717678,290,24.819193
74.675813,287,24.96395
54.834584,265,25.093478
62.54118,264,25.221543
93.392144,329,25.403124
44.316376,238,25.522292
48.471163,271,25.663113
79.89848,303,26.214854
75.802765,290,26.365728
64.990307,280,26.507811
63.156833,303,26.670091
83.806515,450,26.951661
62.462386,282,27.095763
49.147774,240,27.214513
102.337365,386,27.785506
79.132918,335,28.029389
42.46522,253,28.169145
88.544378,326,28.345965
136.119498,489,28.62275
80.647939,313,28.778658
130.386944,426,29.422742
100.014818,395,29.635534
87.216813,333,29.808693
66.795449,275,29.944841
49.522017,244,30.058744
49.537523,246,30.17094
56.678208,290,30.656787
75.818221,295,30.802282
235.465536,874,31.279644
54.094886,260,31.404836
63.618188,265,31.538203
67.401381,276,32.011952
75.709931,292,32.153509
63.317843,288,32.297146
103.277383,349,32.484504
57.995986,254,32.614267
50.358092,250,32.737591
82.780914,309,32.898586
112.925352,391,33.44677
77.369991,299,33.598992
98.147818,355,33.783393
53.034107,248,33.900682
110.976737,367,34.095739
80.247582,302,34.253952
166.020226,583,34.900752
78.323906,301,35.047036
54.947943,282,35.183711
71.917755,277,35.314744
102.420646,369,35.506523
139.35443,408,35.723701
88.529221,319,36.273119
67.815116,293,36.41381
88.556908,347,36.599956
73.465032,286,36.738584
70.697625,285,36.884468
80.261662,302,37.033396
94.204182,338,37.19428
66.792935,269,37.657523
91.423029,326,37.823577
68.100887,279,37.955397
88.11861,349,38.139138
72.868845,383,38.337226
68.949658,271,38.466976
46.768447,232,38.904092
89.285972,333,39.076187
146.887615,453,39.319293
67.125698,281,39.455237
91.792406,329,39.627811
83.664686,299,39.778546
80.125623,307,39.930883
64.295958,272,40.386334
62.994357,270,40.520283
