#{"t_start": 1776720978.37373, "env_id": "BDXCourseProject-v0"}
r,l,t
-6.502995,183,0.188273
-28.746415,243,0.432501
-17.130059,213,0.654061
-17.372118,259,0.915008
-17.046966,230,1.151339
-9.54736,217,1.374062
-32.620933,256,1.652024
-20.640252,237,1.885892
-7.521094,198,2.088046
-9.894959,204,2.288792
-16.30211,243,2.531807
-7.24304,184,2.720648
-11.312823,209,2.929864
-5.200741,180,3.109513
-8.802386,236,3.358754
-7.490032,196,3.557731
-8.02408,187,3.746468
-5.112616,180,3.931705
-13.776351,204,4.140434
-7.593999,187,4.326233
-5.928855,200,4.524577
-4.811724,201,4.729107
-6.582525,173,4.896351
-18.076214,266,5.173059
-4.018322,194,5.363798
-6.530599,179,5.536632
-3.296875,188,5.727225
-7.652087,227,5.954325
-11.649273,260,6.23317
-14.753169,226,6.452943
-10.214273,176,6.628304
-13.666706,269,6.898419
-9.514923,223,7.122081
-10.684158,209,7.327598
-12.811721,266,7.60211
-8.892906,203,7.806005
-10.92857,211,8.014758
-9.487412,253,8.277686
-15.975075,263,8.545382
-15.409731,277,8.825552
-5.532677,209,9.031504
-4.608313,208,9.248312
-11.906237,216,9.469062
-4.305617,220,9.701654
-8.141415,272,9.981718
-5.059559,212,10.197538
-8.618277,242,10.451178
-3.740032,232,10.710313
-4.787608,206,10.925496
-4.383443,202,11.131625
-3.545277,174,11.306712
-4.927314,192,11.499837
-6.202668,198,11.70569
-5.968509,174,11.882114
-2.599861,177,12.053886
-4.708592,211,12.263622
-2.525381,196,12.457634
-14.424426,229,12.685733
-10.590241,286,12.979702
-1.595584,172,13.144934
-1.795033,196,13.340115
-3.004445,204,13.544005
-1.690468,206,13.749119
-12.961684,377,14.122552
-8.607625,286,14.423362
-3.875358,215,14.63195
-8.414816,226,14.858948
-6.03662,340,15.200658
-5.716462,326,15.533029
-6.960887,297,15.843055
-4.514046,207,16.044712
-6.581403,409,16.472251
-8.156737,537,17.014842
-5.336033,239,17.260537
-6.110429,282,17.541996
-3.480271,225,17.764891
-4.002891,248,18.014535
-9.776518,336,18.3826
-4.991101,271,18.657296
-10.095745,604,19.339311
-4.803304,433,19.818121
-1.865003,187,20.001903
-5.318281,347,20.391612
-3.270947,247,20.6535
-2.626001,195,20.845398
-3.573666,219,21.073526
-5.911714,253,21.3398
-5.324595,217,21.564455
-4.899138,275,21.840679
-6.555396,349,22.292558
-1.227064,307,22.623187
-2.327394,362,23.019525
-2.597516,196,23.217191
-0.193473,385,23.643781
-1.357769,201,23.840722
-1.482806,286,24.140978
-1.107095,203,24.342054
-0.912481,237,24.57711
-1.982158,192,24.7684
-1.259054,213,24.978481
-0.173898,200,25.174164
-1.179794,197,25.368879
-1.507942,196,25.558615
-0.085147,275,25.848398
0.259774,311,26.174597
-0.238099,252,26.422846
-0.349789,260,26.677421
-0.976307,236,26.906105
0.965149,292,27.193024
-6.985686,504,27.700854
1.252598,283,27.979584
-1.071147,303,28.284988
-8.28468,272,28.571327
-11.036834,359,28.950285
-4.269894,266,29.227054
-1.366508,568,29.850901
0.325591,312,30.168089
-3.423965,236,30.411113
-0.595826,462,30.917793
1.670484,467,31.457797
-4.086355,261,31.732547
0.621096,401,32.194398
1.807645,413,32.657411
-0.815943,221,32.885009
-1.535075,284,33.186967
-1.750414,291,33.494897
-1.268817,220,33.71637
-2.453162,216,33.930756
-1.54609,212,34.140345
-2.290797,239,34.382615
-3.123252,293,34.699133
-2.726894,298,35.028218
-3.075903,276,35.330508
2.142997,438,35.811754
-1.009795,328,36.168551
0.221363,543,36.853039
-1.176765,413,37.317173
-5.768754,301,37.652323
-0.388068,394,38.091295
-0.275638,290,38.401
-0.134489,295,38.709221
0.234456,311,39.03673
1.845143,358,39.431878
0.188202,414,39.920616
-2.418317,238,40.159784
-3.589144,261,40.427561
-2.154432,292,40.74638
-3.37208,270,41.023647
-1.390556,259,41.29242
-4.724913,316,41.637221
-3.542313,326,41.999829
-2.068696,339,42.363318
-3.940884,246,42.618466
-1.262827,261,42.892435
-3.439729,247,43.146654
-4.426317,247,43.40297
-3.384919,246,43.654995
-5.226086,268,43.931916
-2.165412,351,44.314405
-2.473165,394,44.764084
-3.763035,229,45.003754
-2.559197,237,45.247659
-3.233907,358,45.669307
-3.493915,334,46.043713
-3.703178,365,46.452302
-5.377759,438,46.959817
2.963849,519,47.627241
10.590649,630,48.464944
1.813025,290,48.776332
0.189878,248,49.04786
5.842453,444,49.627658
3.566106,384,50.885437
6.074549,392,51.371192
4.352207,389,51.879482
2.880415,302,52.240262
3.012587,331,52.646669
-1.301238,366,53.083146
-3.16806,334,53.464911
