#{"t_start": 1776719524.6146932, "env_id": "BDXCourseProject-v0"}
r,l,t
-22.90144,224,0.529304
-13.903643,198,0.601967
-10.021077,189,0.67247
-18.77388,264,0.773089
-8.636259,215,0.8819
-10.579702,223,0.96565
-23.16685,268,1.064298
-12.367795,233,1.153334
-9.910168,205,1.237076
-10.276493,206,1.675195
-20.009815,214,1.756182
-11.131517,190,1.828121
-14.627562,237,1.916932
-20.284707,239,2.004177
-12.146142,211,2.080791
-18.737515,235,2.169807
-18.216235,225,2.255323
-18.771403,242,2.343289
-18.868664,223,2.768726
-11.439975,200,2.842467
-9.552484,239,2.932241
-20.256188,222,3.014806
-18.674161,196,3.085681
-12.945007,219,3.166232
-9.78333,211,3.245853
-4.045119,187,3.31741
-11.457804,198,3.390461
-18.950959,242,3.833202
-21.230505,273,3.936653
-26.388797,239,4.029515
-10.503509,208,4.106512
-13.459346,198,4.181722
-21.28021,228,4.265838
-16.909062,239,4.356651
-28.907676,282,4.465944
-16.946225,195,4.539665
-19.158857,239,4.973078
-14.054308,207,5.050335
-14.775719,220,5.13184
-10.075816,198,5.203429
-22.410085,285,5.31105
-7.060748,223,5.391986
-13.706707,275,5.496069
-14.427134,211,5.578268
-14.008798,292,5.694459
-6.883339,204,6.113931
-10.515499,225,6.19608
-12.60325,204,6.272767
-17.559829,214,6.354379
-4.958281,189,6.424026
-8.832485,204,6.499382
-7.38295,201,6.573352
-21.147065,212,6.652035
-5.860577,172,6.716755
-27.843232,236,6.807228
-18.662976,259,7.256231
-14.635656,198,7.332161
-14.821707,202,7.411617
-9.885976,176,7.478825
-11.367283,225,7.566071
-18.337077,261,7.665644
-14.834742,272,7.77211
-7.896114,189,7.841428
-8.273602,222,7.928444
-16.71306,221,8.396609
-13.912853,230,8.491321
-22.129191,227,8.611953
-11.886047,211,8.692159
-18.44815,236,8.780266
-17.573125,230,8.866844
-12.951407,212,8.949091
-13.544402,215,9.030928
-10.561839,232,9.119408
-3.9599,215,9.544053
-5.928829,198,9.616874
-18.94175,287,9.731095
-13.049716,196,9.803267
-7.819409,218,9.886253
-21.349003,235,9.976621
-13.786225,224,10.060462
-9.01204,208,10.14139
-12.076893,238,10.233129
-13.84944,235,10.667245
-11.532125,238,10.756738
-10.905255,196,10.83219
-6.704807,221,10.923473
-21.689055,256,11.020681
-8.622055,229,11.109306
-6.565003,225,11.193888
-14.605099,220,11.277052
-14.518541,199,11.350766
-6.079149,188,11.420593
-18.060244,289,11.872594
-12.972326,284,11.982613
-10.602763,190,12.052026
-19.52514,283,12.159723
-22.299072,256,12.26091
-18.859021,353,12.401403
-14.706393,197,12.474822
-23.640752,257,12.914791
-14.04097,210,12.993859
-6.201171,186,13.063755
-7.23414,190,13.137468
-6.052271,218,13.219362
-12.187891,268,13.321214
-17.453647,234,13.413702
-7.548575,206,13.490987
-12.697214,212,13.569441
-22.830751,233,13.659695
-7.546917,192,14.071386
-6.491995,243,14.161628
-8.466894,223,14.246684
-13.821726,236,14.336656
-10.722584,215,14.417657
-10.496751,243,14.512696
-4.50023,203,14.588683
-8.924597,204,14.662498
-12.094126,208,14.741222
-5.057607,186,15.15175
-17.225548,227,15.235957
-10.109461,225,15.320075
-6.682802,195,15.391717
-10.779537,221,15.473952
-5.452047,176,15.540497
-6.05033,206,15.616473
-8.394043,207,15.695618
-21.844468,294,15.803445
-4.471852,182,15.870887
-12.019471,276,16.317802
-7.429068,200,16.390549
-12.514362,259,16.49152
-11.983708,201,16.563708
-20.798648,227,16.652963
-5.100794,210,16.735002
-10.200331,233,16.822228
-8.216505,248,16.912983
-3.726942,181,16.979815
-21.238238,241,17.412664
-10.075563,211,17.492562
-5.352017,181,17.559494
-8.868194,213,17.640173
-9.878816,220,17.75028
-6.038518,192,17.822167
-11.613157,196,17.894671
-18.494278,249,17.993094
-4.726852,207,18.070551
-13.075749,251,18.502983
-7.52525,227,18.591456
-9.751859,228,18.68311
-7.487559,210,18.761567
-5.440586,206,18.840187
-4.916239,185,18.911342
-22.428498,305,19.031874
-10.920359,224,19.115016
-8.343862,217,19.197833
-11.014987,222,19.621519
-3.416879,182,19.692443
-8.661253,272,19.79462
-2.482128,185,19.861634
-3.134723,180,19.930585
-12.118028,289,20.042132
-8.351614,245,20.13308
-4.155507,178,20.198579
-3.375468,173,20.261113
-7.52319,213,20.340143
-6.956784,185,20.748138
-4.26457,182,20.817943
-8.270465,228,20.904512
-8.580784,184,20.972027
-10.756532,217,21.052578
-2.753411,178,21.117312
-4.961301,186,21.185885
-8.046755,239,21.27767
-9.509128,200,21.352499
-4.895519,174,21.415658
-11.44178,253,21.857117
-5.430041,200,21.933564
-4.133503,179,21.999743
-4.173609,184,22.068977
-3.508778,197,22.142974
-3.907351,173,22.207366
-13.723618,284,22.315482
-10.508253,299,22.430089
-16.994064,230,22.525139
-9.857868,184,22.591414
-5.997937,197,23.006282
-4.490875,199,23.082413
-9.331382,216,23.162815
-4.169549,181,23.228949
-5.527308,196,23.304979
-10.752938,198,23.379728
-9.603989,256,23.475833
-4.330745,209,23.555996
-15.707051,291,23.666376
-4.184478,180,24.075373
-6.456632,199,24.150778
-7.928561,206,24.229531
-6.120258,178,24.297329
-2.883813,176,24.361457
-13.699,262,24.461767
-2.161669,180,24.530581
-2.410326,200,24.604915
-7.490367,223,24.689583
