#{"t_start": 1776719553.3645608, "env_id": "BDXCourseProject-v0"}
r,l,t
-20.742262,223,0.086556
-14.846307,191,0.150338
-21.737999,228,0.226549
-20.175602,223,0.300699
-20.469288,295,0.406322
-32.939485,332,0.522212
-14.258128,211,0.592166
-7.523128,191,0.655255
-14.298248,288,0.760642
-16.133111,190,0.821731
-21.159415,219,0.894135
-12.742474,191,0.955077
-19.298991,217,1.029531
-12.120296,185,1.089231
-14.141912,200,1.154376
-17.014939,217,1.226252
-12.343327,222,1.30257
-11.043212,204,1.369104
-29.404478,296,1.473218
-16.868691,228,1.550153
-11.120525,201,1.618194
-11.965852,201,1.68268
-18.060896,275,1.779066
-7.931489,210,1.848517
-9.829015,181,1.907747
-18.336336,293,2.009661
-29.3674,317,2.12063
-31.576993,321,2.235831
-11.6497,203,2.303799
-14.108842,215,2.374374
-15.870891,218,2.446712
-15.032124,218,2.518216
-18.2264,226,2.594432
-3.570454,192,2.65635
-7.146804,180,2.713429
-12.203442,203,2.78022
-20.13823,205,2.849989
-18.008164,222,2.924709
-17.425062,225,2.999679
-19.798191,291,3.100577
-31.62597,261,3.188263
-8.990763,199,3.254086
-14.691447,196,3.318608
-9.705243,195,3.381188
-8.919936,185,4.473812
-8.401551,179,5.530431
-22.955219,236,6.919861
-21.390622,236,8.308163
-8.687271,189,9.42538
-11.000824,227,10.786596
-24.645237,228,12.124764
-21.741002,281,13.792717
-19.672184,227,15.129928
-12.400556,224,16.445229
-11.45962,192,17.660353
-10.987898,191,18.867897
-13.529304,209,20.168464
-10.179749,240,21.676986
-8.355853,195,22.865029
-12.134089,204,24.061619
-11.675888,204,25.276573
-18.654114,208,26.490651
-19.753944,204,27.681901
-6.361878,195,28.819052
-11.252419,205,30.023369
-9.843354,186,31.107661
-10.306028,195,32.245512
-4.467253,177,33.282285
-19.550597,214,34.534172
-5.864984,199,35.694233
-12.856181,211,36.931339
-20.718217,213,38.17424
-27.353969,209,39.40271
-5.823092,171,40.428182
-23.165298,208,41.653489
-20.230006,189,42.785299
-10.574406,207,44.008102
-13.799995,203,45.196195
-14.707891,204,46.394125
-7.780381,177,47.430053
-19.565479,183,48.503679
-9.791558,185,49.588415
-12.53262,170,50.582897
-11.563265,180,51.63559
-7.175929,175,52.666542
-11.246332,185,53.746962
-9.435216,183,54.828623
-17.84301,187,55.929346
-15.522949,199,57.125951
-11.38497,188,58.226895
-38.077457,193,59.370656
-13.324961,182,60.440873
-20.959258,212,61.68897
-28.959783,191,62.81101
-23.432306,198,64.001642
-42.231298,188,65.147604
-36.877463,180,66.212509
-30.768116,192,67.33819
-37.113187,185,68.444919
-26.062214,182,69.518178
-14.796816,190,70.638513
-18.051101,193,71.780122
-10.551751,172,72.802174
-6.496477,178,73.845609
-23.398812,196,74.998664
-31.591829,173,76.010932
-20.79908,186,77.129721
-19.056109,203,78.321107
-22.08619,188,79.448429
-22.511498,196,80.659156
-7.786503,186,81.751757
-8.551034,184,82.834048
-14.181954,204,84.038662
-17.244608,205,85.250185
-30.321808,219,86.542409
-15.372554,194,87.68881
-11.323099,194,88.840279
-20.295842,209,90.074277
-16.141932,197,91.231969
-15.914238,201,92.421236
-14.396049,210,93.673751
-22.198132,218,94.978617
-16.509449,183,96.058214
-17.422294,198,97.246653
-23.969673,197,98.408802
-23.826359,193,99.548766
-18.878909,194,100.685293
-12.376804,180,101.743155
-6.736879,177,102.793933
-6.163224,182,103.877478
-9.659163,190,104.996242
-15.858644,181,106.470486
-17.676857,223,108.440908
-14.912828,189,110.097904
-11.911567,199,112.02036
-35.024267,218,113.929052
-7.480735,179,115.513343
-12.303968,189,117.158732
-23.083562,194,323.22123
-33.694862,236,325.33505
-20.994426,187,326.956007
-14.338421,194,328.633565
-12.919627,190,330.278437
-18.196546,202,598.309219
-8.119568,175,599.914109
-14.866398,209,601.730818
-12.935225,195,603.435796
-11.908588,178,604.98064
-10.06713,201,678.947265
-23.196118,193,681.457973
-14.43709,187,683.228655
-19.417484,177,684.79459
-35.827795,205,686.573544
-20.983153,193,688.272143
-14.927696,182,689.868993
-11.328915,178,691.406596
-12.255214,183,693.050694
-6.488461,172,694.513728
-10.919416,176,696.041615
-13.379247,171,697.527638
-10.578868,215,699.451655
-12.494823,189,701.079693
-14.836936,201,702.843849
-9.423868,186,704.449406
-22.401241,185,706.031176
-17.908184,214,707.867461
-30.92211,196,1009.250358
-30.963561,189,1011.074719
-27.800806,188,1012.692564
-26.030924,193,1014.346106
-25.358616,202,1016.088773
-24.016562,182,1017.634782
-12.985397,181,1019.177462
-9.260803,180,1020.730409
-18.812656,194,1022.410219
-12.11391,188,1024.013443
-15.077992,203,1025.770472
-30.198024,199,1027.774717
-15.676779,183,1300.782932
-9.755346,176,1303.597222
-18.544432,174,1307.101557
-16.916408,179,1308.861632
-14.500922,177,1310.464859
-10.427906,186,1312.153455
-11.752216,192,1314.090875
-19.921937,194,1315.972057
-19.787436,200,1318.047497
-14.980676,190,1319.939849
-10.6605,193,1323.209992
-11.671697,183,1325.713469
-33.301287,237,1327.802678
-22.285918,202,1329.598332
-16.3194,184,1331.197084
-21.516687,216,1333.034869
-13.225023,185,1334.609249
-8.856942,194,1336.265247
-11.381327,178,1337.781096
-8.23454,174,1339.25021
-10.773284,181,1340.780711
-20.673866,216,1342.61574
-17.49539,199,1344.331627
-12.532874,197,1346.015755
-9.828494,185,1347.584392
-30.950606,198,1349.272117
-23.441498,208,1351.046158
-15.105456,193,1352.679291
-22.811522,202,1354.425083
-13.765846,190,1356.048509
-25.272608,185,1357.624172
-14.58128,166,1359.037688
-15.286161,184,1360.60198
-24.410042,198,1362.280152
-18.55643,192,1363.913784
-20.902003,196,1365.603189
-11.033407,169,1367.041773
-15.364023,191,1368.666033
-17.730062,196,1370.330867
-15.010495,189,1371.926747
-14.748573,190,1373.534274
-15.008656,188,1375.140776
-9.662431,185,1376.722329
-30.288361,168,1378.144711
-31.405219,195,1379.798717
-29.585748,171,1381.244945
-17.479409,202,1382.957673
-21.8965,221,1384.865883
-12.542999,189,1386.483242
-10.571854,181,1388.015819
-16.508882,197,1389.699348
-27.809515,200,1391.394837
-69.951697,289,1393.859004
-29.892621,171,1395.319285
-25.695127,178,1396.84089
-36.068522,239,1398.906163
-43.228116,183,1400.454919
-32.06515,230,1402.413145
-28.015938,198,1404.114855
-21.979675,212,1405.94532
-23.706481,211,1407.731341
-32.095198,223,1409.627297
-27.931342,219,1411.495612
-25.906282,194,1413.142373
-11.677041,180,1414.70975
-16.403365,178,1416.235426
-18.315607,197,1417.919525
-19.936803,200,1419.622419
-16.465349,189,1421.21929
-8.429734,188,1422.84703
-25.428038,210,1424.654819
