#{"t_start": 1776721032.929808, "env_id": "BDXCourseProject-v0"}
r,l,t
-20.742262,223,0.144156
-14.846307,191,0.249524
-21.737999,228,0.380253
-20.175602,223,0.514503
-20.469288,295,0.697706
-32.939485,332,0.897893
-14.258128,211,1.017535
-7.523128,191,1.123568
-14.298248,288,1.311901
-16.133111,190,1.503099
-21.159415,219,1.626587
-12.742474,191,1.732606
-19.298991,217,1.856438
-12.120296,185,1.95608
-14.141912,200,2.066205
-17.014939,217,2.196479
-12.343327,222,2.35609
-11.043212,204,2.477769
-29.404478,296,2.665127
-16.868691,228,2.812723
-11.120525,201,2.948824
-11.965852,201,3.081764
-18.060896,275,3.269851
-7.931489,210,3.408606
-9.829015,181,3.522256
-18.336336,293,3.709137
-29.3674,317,3.928596
-31.576993,321,4.195988
-11.6497,203,4.342365
-14.108842,215,4.487677
-15.870891,218,4.61591
-15.032124,218,4.743751
-18.2264,226,4.877627
-3.570454,192,4.987392
-7.146804,180,5.086298
-12.203442,203,5.199558
-20.13823,205,5.317873
-18.008164,222,5.447592
-17.425062,225,5.575676
-19.798191,291,5.746839
-31.62597,261,5.896138
-8.990763,199,6.009642
-14.691447,196,6.116873
-9.705243,195,6.224464
-7.836074,181,8.695365
-12.970339,186,11.770344
-10.103481,210,14.679821
-10.457504,187,17.555146
-12.989931,214,20.626685
-12.013692,220,23.846815
-23.394516,212,27.189638
-13.999305,208,30.070341
-4.389581,180,33.304323
-14.910089,213,36.770917
-17.178483,258,40.364605
-19.920052,240,45.936381
-16.936716,226,49.794436
-8.630918,186,52.301687
-11.565061,217,55.277157
-8.726757,186,57.880558
-4.438015,185,60.388462
-8.065942,190,62.934873
-12.666505,185,65.443049
-18.777904,288,69.333921
-3.661316,178,71.733987
-5.774902,172,74.309678
-10.461471,193,77.168597
-13.723678,182,79.812485
-6.072762,181,82.653141
-5.594726,173,85.057921
-11.689656,174,87.615258
-10.088891,186,90.831942
-6.984415,202,94.011871
-9.110118,206,97.51735
-5.977417,174,100.78958
-11.86411,194,104.71356
-10.042523,182,108.384182
-12.083759,211,111.266288
-5.729743,185,113.767368
-8.732183,198,116.479918
-8.912024,188,120.04496
-10.815068,207,125.054359
-8.24844,172,127.556414
-8.210214,196,131.984974
-14.422736,217,137.407863
-12.828087,210,140.357224
-13.474029,209,143.95691
-14.841264,207,147.205382
