#{"t_start": 1776795160.370146, "env_id": "BDXCourseProject-v0"}
r,l,t
-6.502995,183,0.615843
-28.746415,243,0.765339
-17.130059,213,0.905445
-17.372118,259,1.063809
-17.046966,230,1.204272
-9.54736,217,1.34938
-32.620933,256,1.57016
-20.640252,237,1.723327
-7.521094,198,1.848084
-9.894959,204,1.97778
-16.30211,243,2.134181
-7.24304,184,2.249359
-11.312823,209,2.375001
-5.200741,180,2.478502
-8.802386,236,2.63331
-7.490032,196,2.752763
-8.02408,187,2.871915
-5.112616,180,2.993702
-13.776351,204,3.138582
-7.593999,187,3.267072
-5.928855,200,3.393797
-4.811724,201,3.543582
-6.582525,173,3.676604
-18.076214,266,3.856189
-4.018322,194,3.969653
-6.530599,179,4.074779
-3.296875,188,4.19183
-7.652087,227,4.329628
-11.649273,260,4.507774
-14.753169,226,4.637512
-10.214273,176,4.738758
-13.666706,269,4.900799
-9.514923,223,5.039798
-10.684158,209,5.183617
-12.811721,266,5.364741
-8.892906,203,5.500913
-10.92857,211,5.629114
-9.487412,253,5.786344
-15.975075,263,5.945549
-15.409731,277,6.113509
-5.532677,209,6.234764
-4.608313,208,6.361795
-11.906237,216,6.488869
-4.305617,220,6.624123
-8.141415,272,6.792786
-5.059559,212,6.918149
-8.618277,242,7.071932
-3.740032,232,7.234491
-4.787608,206,7.362673
-4.383443,202,7.48841
-3.545277,174,7.597018
-4.927314,192,7.722815
-6.202668,198,7.850774
-5.968509,174,7.965918
-2.599861,177,8.066638
-4.708592,211,8.188464
-2.525381,196,8.305241
-14.424426,229,8.448765
-10.590241,286,8.627548
-1.595584,172,8.726266
-1.795033,196,8.875228
-3.004445,204,8.995793
-1.690468,206,9.114878
-12.961684,377,9.335233
-8.607625,286,9.514753
-3.875358,215,9.637763
-8.414816,226,9.770581
-6.03662,340,9.973512
-5.716462,326,10.164589
-6.960887,297,10.339749
-4.514046,207,10.460896
-6.581403,409,10.712495
-8.156737,537,11.031374
-5.336033,239,11.174277
-6.110429,282,11.339857
-3.480271,225,11.468379
-4.002891,248,11.619974
-9.776518,336,11.83189
-4.991101,271,12.016731
-10.095745,604,12.411121
-4.803304,433,12.689604
-1.865003,187,12.795061
-5.318281,347,13.028074
-3.270947,247,13.180154
-2.626001,195,13.290361
-3.573666,219,13.422143
-5.911714,253,13.57746
-5.324595,217,13.708186
-4.899138,275,13.872265
-6.555396,349,14.107546
-1.227064,307,14.301203
-2.327394,362,14.536711
-2.597516,196,14.651178
-0.193473,385,14.903832
-1.357769,201,15.017777
-1.482806,286,15.191904
-1.107095,203,15.311232
-0.912481,237,15.449262
-1.982158,192,15.558427
-1.259054,213,15.682241
