#{"t_start": 1776797004.7629771, "env_id": "BDXCourseProject-v0"}
r,l,t
-13.918089,222,0.106153
-11.03465,187,0.17308
-7.40124,194,0.240857
-18.331241,213,0.316672
-16.474043,231,0.403942
-8.360671,196,0.475012
-27.950971,246,0.569151
-12.878907,192,0.64
-19.093888,216,0.721399
-21.882047,216,0.804013
-24.46518,272,0.905721
-7.926562,207,0.977031
-11.59407,210,1.051155
-17.225443,202,1.120716
-20.693685,240,1.251519
-12.094948,232,1.339937
-13.00139,210,1.462384
-11.832074,211,1.550101
-14.649036,201,1.627826
-5.668384,190,1.699764
-16.069463,186,1.778221
-7.184782,194,1.855985
-9.398411,179,1.923881
-19.03541,217,2.008059
-8.096947,195,2.085213
-15.724751,200,2.160615
-13.751216,201,2.234487
-11.908283,181,2.298415
-7.800625,183,2.372091
-21.986104,233,2.464682
-18.281431,228,2.551622
-12.774258,198,2.626418
-17.376706,216,2.716801
-7.143694,187,2.786049
-14.086237,203,2.861641
-22.698064,246,2.957001
-18.782823,200,3.033464
-10.015917,186,3.099739
-11.429234,191,3.167485
-10.033724,207,3.243576
-11.523762,181,3.312693
-13.925285,209,3.389898
-12.750765,216,3.46951
-16.287476,281,3.580392
-16.528912,190,3.654081
-9.153941,239,3.741732
-16.09804,246,3.869318
-19.59947,212,5.28958
-17.037618,217,7.857044
-9.759826,205,10.40811
-17.529049,207,12.940247
-14.435306,237,15.900906
-3.784269,181,18.097085
-18.045351,193,21.138676
-9.985287,204,24.131099
-13.974384,189,27.066981
-13.859995,207,29.755961
-8.750462,242,32.363799
-11.868171,191,34.58171
-18.576634,234,37.373887
-12.461619,208,39.850359
-13.444517,207,42.587954
-17.468642,261,45.741116
-8.276072,185,47.95164
-7.814573,188,50.155441
-11.445936,208,52.347973
-7.638474,180,54.401935
-13.699994,211,56.978003
-8.635625,254,59.622566
-11.72366,206,61.84196
-11.458064,222,64.831019
-15.201732,216,67.38018
-14.789432,232,69.848063
