#{"t_start": 1776903401.635051, "env_id": "BDXCourseProjectWalk-v0"}
r,l,t
2.265834,160,1.204714
1.518823,164,1.412923
3.159449,160,1.612421
10.739213,179,1.831607
1.309192,177,2.044039
8.686398,172,2.231008
8.947768,218,2.499508
2.908802,190,2.724886
9.258604,212,3.038283
3.87158,182,3.236898
3.691542,178,3.420413
3.176261,169,3.624296
10.281887,226,3.914607
1.283271,191,4.154514
9.094734,214,4.424087
0.256725,174,4.641688
0.333211,163,4.838651
3.878428,185,5.07053
7.439399,185,5.299943
3.19383,187,5.512243
4.205901,169,5.704925
3.060414,174,5.907143
4.757516,172,6.114805
3.959234,163,6.305249
4.602253,179,6.520369
3.392326,171,6.721865
3.834613,169,6.916861
3.914432,172,7.134291
3.92439,165,7.33982
0.143632,171,7.52683
3.556134,187,7.757812
1.326959,159,7.938042
2.011541,158,8.205017
2.910921,175,8.444225
1.068771,153,8.651984
2.770818,175,8.899539
0.91215,163,9.094276
0.955583,149,9.269858
0.726583,149,9.48125
1.283539,153,9.661364
1.172713,153,9.843373
1.887953,158,10.034526
1.292165,150,10.24029
1.518646,173,10.544812
3.554556,174,10.773983
2.671208,166,11.020839
2.167072,176,11.293917
2.676315,164,11.576556
1.761219,166,11.808051
1.195503,180,12.039733
3.649718,157,12.241436
2.792721,164,12.518562
2.990537,162,12.763523
3.423262,167,13.027857
0.854956,169,13.268845
3.080079,175,13.549918
1.476009,168,13.834115
2.704241,158,14.119011
3.906418,157,14.366441
3.937464,154,14.677593
2.647809,156,14.956983
2.524713,174,15.195616
1.709899,179,15.463126
5.312797,179,15.769913
2.941551,174,16.09599
3.250513,162,16.368323
2.543343,173,16.642659
2.144062,163,16.921229
5.660138,179,17.247707
4.288113,170,17.545602
2.740327,162,17.796239
1.594932,157,18.024157
2.043654,176,18.328192
1.634405,172,18.68516
0.038426,173,19.001181
-0.843999,193,19.521837
3.0501,175,20.133201
3.974107,169,20.604876
7.456169,203,21.306637
2.255819,178,21.894501
2.161275,171,22.370122
5.486806,192,23.011155
5.539658,197,23.721356
3.080392,193,24.325001
6.598702,195,24.825794
5.575304,188,25.196917
7.098773,204,25.515981
6.395009,186,25.790066
2.70216,181,26.064492
7.731751,184,26.400682
6.366455,197,26.807414
5.631181,197,27.096404
5.188969,196,27.460754
2.723854,160,27.781534
2.104432,170,28.148951
6.430321,197,28.505015
3.92056,159,28.801222
4.473395,196,29.215497
4.899592,207,29.663519
7.192139,212,30.125414
7.849815,212,30.599339
7.452054,221,31.052102
4.884713,208,31.524247
4.18993,187,31.949226
4.452778,183,32.268553
6.038948,200,32.751505
5.37567,186,33.299862
5.822096,195,33.960299
6.416623,198,34.635651
6.959891,211,35.332273
4.833668,195,36.071194
3.665223,190,36.659601
4.498924,191,37.316541
6.40687,226,38.18168
7.089359,216,38.879878
2.391524,164,39.145754
2.135912,178,39.45949
0.825831,186,39.80722
3.564612,191,40.165803
4.29377,200,40.637707
0.943374,196,41.143708
2.439674,187,41.555561
4.801442,191,42.005731
2.20748,181,42.43415
2.047945,173,42.880321
1.944166,177,43.244376
1.758915,191,43.776606
2.865863,188,44.261693
2.134685,173,44.616552
1.88622,206,45.130342
3.320579,198,45.650786
2.809001,196,46.248936
3.652629,195,47.048448
0.657758,193,47.886383
-0.202372,185,48.713603
1.095928,166,49.285569
0.975374,188,50.086194
1.205587,186,50.886181
0.90634,174,51.613804
1.064348,177,52.431854
2.108495,182,53.227292
1.888182,190,54.146387
1.595543,185,54.650161
2.725864,182,55.041286
1.117375,181,55.479165
0.448718,184,55.900744
1.938375,181,56.366854
2.846947,182,56.826588
3.721532,193,57.385411
1.750708,187,57.854383
2.803438,184,58.295248
1.614367,169,58.659447
3.91621,199,59.227942
3.14106,187,59.784906
2.477882,179,60.330086
1.88025,169,60.872507
3.842399,194,61.582657
2.580759,176,62.229787
1.71734,157,62.655919
3.040669,191,63.388992
3.306067,184,63.963408
4.146065,174,64.441678
2.485897,171,64.949986
4.072395,187,65.46246
4.285918,181,66.040765
5.458925,185,66.626925
2.399906,165,67.359397
3.057107,176,68.448195
2.168473,162,70.731302
4.114828,182,73.652312
4.002961,169,75.480575
4.747919,184,77.666138
3.375491,172,79.048294
3.777561,182,80.490082
5.419383,182,82.852779
2.303933,155,84.769827
1.040144,158,86.195166
2.340872,158,87.512623
2.179995,166,88.471173
3.240362,162,88.985118
4.050475,173,89.650319
3.59369,169,90.141883
3.587876,170,90.547577
2.249578,169,91.039819
3.655763,167,91.42063
2.175278,183,91.892384
4.140774,183,92.525697
1.226506,157,93.179966
2.094529,156,93.532108
2.413581,159,93.866699
1.636453,155,94.147481
3.12233,163,94.495386
1.68839,156,94.870804
2.4179,153,95.18993
1.723171,151,95.501271
1.75729,151,95.790091
1.592925,152,96.237702
1.353643,152,96.556703
1.679326,153,96.900319
1.445135,152,97.213366
1.345271,151,97.479805
