#{"t_start": 1776903892.606501, "env_id": "BDXCourseProjectWalk-v0"}
r,l,t
9.488048,205,0.121048
4.584494,159,0.196564
11.944537,232,0.312141
3.771156,201,0.409277
6.020628,168,0.485378
4.462826,171,0.561702
4.766399,165,0.634395
47.696228,415,0.865099
9.263497,183,0.951241
6.450272,194,1.04291
8.922123,185,1.129155
3.817882,177,1.275639
9.317499,197,1.387152
3.465608,183,1.486271
12.580959,227,1.614539
19.140446,286,1.782657
8.409105,187,1.878731
7.077231,187,1.984049
5.259713,176,2.081844
0.707272,157,2.159842
4.164792,166,2.244243
14.599403,207,2.350421
20.733445,213,2.460216
16.765587,231,2.582121
4.514849,179,2.670792
22.479,218,2.790466
5.361895,194,2.963367
11.913571,205,3.079145
2.363819,169,3.166058
13.547487,241,3.296746
34.980182,345,3.501838
11.723717,214,3.613979
5.565688,248,3.746925
9.498778,232,3.860835
12.594497,202,3.95929
9.254185,196,4.058552
13.093073,195,4.159389
6.508817,178,4.252905
8.759346,188,4.348752
5.715219,204,4.457769
3.32296,172,4.554151
20.627139,231,4.749558
7.434699,175,4.840639
15.967041,269,5.000771
2.20305,186,5.104972
4.440894,170,5.191761
24.894589,247,5.332681
6.418968,182,5.420526
5.705131,177,6.197553
10.301025,234,8.18996
5.725291,178,9.696743
5.125419,185,11.398605
14.456274,282,14.018083
14.906837,225,15.910798
12.164209,233,17.926113
9.572914,174,19.349763
6.457127,186,20.848967
13.915323,201,22.619561
5.746632,174,24.233055
9.819892,186,26.971209
11.876284,240,30.600731
9.259637,179,32.327194
6.751015,201,33.800129
5.828319,169,35.024915
3.810487,182,36.53428
2.940053,170,37.782157
9.006494,188,39.100189
3.725062,183,40.386421
4.309188,185,41.691038
3.592378,183,42.962695
10.492815,221,44.547671
5.269634,254,46.419067
1.259001,172,47.597899
4.512774,160,48.695313
4.939291,159,49.783086
0.370769,150,50.810209
1.441926,151,51.841263
4.826916,226,53.376144
4.087655,194,54.675318
1.781836,188,55.94506
6.970529,204,57.332629
2.62756,185,58.634721
1.421208,164,59.730212
