#{"t_start": 1776905810.654072, "env_id": "BDXCourseProjectWalk-v0"}
r,l,t
9.488048,205,0.094745
4.584494,159,0.156845
11.944537,232,0.254075
3.771156,201,0.335583
6.020628,168,0.400255
4.462826,171,0.464653
4.766399,165,0.527165
47.696228,415,0.722653
9.263497,183,0.794918
6.450272,194,0.872841
8.922123,185,0.943373
3.817882,177,1.010498
9.317499,197,1.088776
3.465608,183,1.158973
12.580959,227,1.250059
19.140446,286,1.381448
8.409105,187,1.454093
7.077231,187,1.525016
5.259713,176,1.593688
0.707272,157,1.652236
4.164792,166,1.716634
14.599403,207,1.800557
20.733445,213,1.887404
16.765587,231,1.984945
4.514849,179,2.054391
22.479,218,2.143827
5.361895,194,2.219172
11.913571,205,2.300921
2.363819,169,2.364525
13.547487,241,2.465213
34.980182,345,2.660649
11.723717,214,2.749061
5.565688,248,2.858096
9.498778,232,2.955557
12.594497,202,3.038101
9.254185,196,3.114246
13.093073,195,3.192715
6.508817,178,3.261365
8.759346,188,3.336157
5.715219,204,3.417261
3.32296,172,3.483236
20.627139,231,3.579705
7.434699,175,3.646811
15.967041,269,3.768757
2.20305,186,3.847677
4.440894,170,3.912417
24.894589,247,4.01759
6.418968,182,4.085776
4.300734,166,4.892383
3.502649,189,6.87204
6.620276,188,8.848098
7.305528,178,10.702337
7.853424,173,12.549203
24.854804,307,15.837439
30.81216,206,18.094219
3.910623,187,20.069202
6.547112,161,21.793778
10.837968,186,23.772217
9.735599,182,25.671384
11.79498,189,27.748097
8.52303,195,29.824369
3.953731,174,31.684734
5.81534,171,33.516609
6.588884,200,35.62291
3.769173,172,37.482253
6.208117,159,39.163327
5.813262,169,41.014014
3.821987,164,42.780939
8.349432,212,45.063635
6.979443,179,47.021003
9.625031,182,49.010111
2.79136,164,50.742157
3.979277,168,52.608654
4.710677,184,54.613598
4.416196,168,56.397855
2.162219,175,58.307172
5.94593,174,60.189384
6.532428,183,62.162037
6.270794,187,64.217058
4.318132,182,66.211348
6.128938,181,68.160562
12.155166,248,70.883155
7.346346,219,73.295987
3.461825,184,75.248485
13.867725,260,78.160785
3.813822,177,80.102258
1.297791,203,82.349003
3.205085,171,84.167577
2.38869,191,86.267445
4.796462,197,88.421819
2.424951,175,90.343372
4.73436,181,92.281751
4.660421,187,94.338644
6.109837,185,96.361061
2.511452,178,98.285274
8.045427,206,100.538054
4.086718,166,102.339124
7.149568,219,104.674578
4.563677,173,106.560483
4.175555,175,108.472588
5.176337,269,111.402453
10.812831,238,113.994672
7.344001,208,116.222296
6.9857,197,118.367652
4.833302,178,120.294429
4.942325,195,122.358222
11.185214,240,124.958116
14.056757,211,127.263752
7.683095,181,129.240144
14.906585,210,131.522005
15.143029,261,134.394097
19.988522,227,136.826679
9.344466,225,139.345838
11.789639,200,141.54768
3.666044,179,143.48877
11.239584,278,146.532949
6.764999,211,148.777551
6.265214,197,150.927252
7.394021,194,153.03655
6.203379,206,155.278164
5.455158,193,157.35272
8.25962,191,159.450369
6.177735,200,161.631237
10.082776,200,163.802247
5.118972,181,165.73919
4.061902,226,168.222098
8.408862,212,170.55289
7.03634,201,172.760925
7.266299,190,174.785962
5.261645,179,176.748778
5.872385,201,178.965381
6.954194,183,180.963134
5.531501,217,183.28468
16.774326,252,186.046442
12.491375,174,187.9378
8.224554,185,189.94256
12.791967,215,192.226703
8.35801,204,194.459192
-0.439806,172,196.323736
0.117853,152,197.985931
7.668075,221,200.385526
10.480723,187,202.428322
13.757224,196,204.56472
9.870853,191,206.578911
12.559516,231,209.082893
1.272696,168,210.889169
10.361755,207,213.116637
11.03387,162,214.832806
0.281765,170,216.684434
24.560586,306,219.984593
11.35868,232,222.483151
9.786096,242,225.101154
6.936302,207,227.29913
10.341624,192,229.36665
22.577762,219,231.767005
4.809335,199,233.927771
8.392213,230,236.404434
7.488373,213,238.671953
9.866547,225,241.137826
3.780585,183,243.11432
16.585203,228,245.594365
4.181226,171,247.40305
6.811512,188,249.449147
8.652088,227,251.90727
10.104517,174,253.794545
8.465408,202,255.946283
12.485635,249,258.67174
5.201641,185,260.678444
17.037944,269,263.665316
1.816639,181,265.635654
4.328935,197,267.720954
5.335013,239,270.359945
14.261062,280,273.443185
17.21346,361,277.418512
13.893844,284,280.862279
1.989411,189,282.933238
2.559678,190,285.001789
4.821782,231,287.481547
8.81799,213,289.829315
31.107722,404,294.357163
13.352559,297,297.609683
7.970302,190,299.686009
4.834374,182,301.638094
11.659759,204,303.882359
13.153123,200,306.073771
16.675546,233,308.635723
12.258363,276,311.663687
8.834243,243,314.329553
18.172226,289,317.559626
11.414889,233,320.162927
16.585605,272,323.169053
14.392137,270,326.132667
5.640679,230,328.603649
2.538397,198,330.774303
5.700689,182,332.74766
5.851333,223,335.182316
5.876786,201,337.315906
13.09722,266,340.21319
13.97156,289,343.335578
4.616249,212,345.671608
6.871596,183,347.6634
6.799138,190,349.690303
3.170164,194,351.818727
5.816972,173,353.753465
7.535879,209,356.063794
9.559049,169,357.847549
14.841692,176,359.775139
23.805187,211,362.046018
23.722571,313,365.459518
20.074449,280,368.536144
11.451873,227,370.991338
7.780043,228,373.428251
15.123741,202,375.620892
16.016722,243,378.32344
8.684589,186,380.36466
6.204558,193,382.425298
6.316204,189,384.489204
7.764324,190,386.5284
6.472303,240,389.087761
17.212944,195,391.196116
10.070695,174,393.080549
9.187094,194,395.148544
7.914557,176,397.058798
3.757206,167,398.87661
3.459434,177,400.747319
17.385278,201,403.261494
1.129017,174,405.134438
1.686,167,406.854964
15.659875,196,408.774899
5.710998,198,410.652235
10.816754,295,413.48752
11.219573,274,416.085925
6.040663,225,418.225631
3.328417,173,419.854479
0.182124,183,421.561941
26.450915,372,425.088365
1.205886,154,426.524157
5.327624,211,428.503409
-0.03091,156,429.966457
-1.193659,163,431.479906
11.168019,235,433.686993
4.192102,239,435.919711
3.817349,245,438.266662
3.025858,177,439.920934
4.310195,184,441.626386
0.34798,177,443.29494
23.895714,237,445.495462
3.360423,171,447.07692
14.718528,280,449.698772
9.51413,200,451.546689
10.061349,203,453.450201
8.375999,177,455.080849
8.201041,200,456.933384
20.487749,208,458.866391
19.807599,262,461.299266
7.802955,193,463.070137
6.36883,204,464.962728
13.817966,260,467.371987
15.918769,244,469.631197
18.347977,239,471.857201
8.808998,208,473.780514
4.392277,159,475.226912
7.43573,235,477.395118
6.106941,204,479.267774
10.788666,254,481.61251
19.34908,274,484.165264
18.270591,307,487.017979
18.873528,201,488.888592
5.088917,191,490.650694
3.760894,184,492.32889
37.334789,436,496.402965
7.411284,224,498.538914
6.669678,182,500.203464
4.223604,187,501.945294
10.824722,174,503.550339
13.091167,181,505.212204
8.185218,189,506.95234
2.595346,178,508.59493
4.099379,184,510.284242
4.70674,189,512.027953
6.584592,191,513.806061
4.217353,184,515.490954
5.743623,183,517.181937
15.06815,279,519.825088
7.219385,201,521.723046
8.065086,207,523.705159
14.969067,204,525.626249
19.834309,333,528.737632
6.760916,281,531.400057
10.688731,236,533.697615
11.341534,242,536.035626
10.240173,255,538.52477
9.666845,236,540.79267
13.686374,274,543.446185
10.222459,262,545.937197
10.826748,261,548.748039
4.53227,215,550.883071
52.148482,567,556.456398
17.218967,246,558.929221
19.316063,238,561.277407
11.810425,182,563.057544
5.890199,189,564.859437
19.788151,216,566.939307
12.566601,209,568.959112
14.605716,201,570.985844
25.763426,258,573.491662
9.815665,201,575.446791
10.875115,181,577.198224
20.111034,190,579.023533
7.550181,192,580.886955
20.812611,213,582.938394
10.172131,218,585.09021
18.403318,188,586.93619
34.896903,247,589.381986
14.78473,226,591.557556
37.069846,337,594.81931
31.219996,227,596.982423
19.893236,351,600.312205
13.640275,237,602.556197
2.731444,234,604.769521
2.188234,197,606.632219
1.876901,166,608.188308
14.86154,247,610.542572
6.276152,232,612.726282
12.298966,180,614.413639
10.211876,225,616.536311
10.433148,245,618.913783
8.360559,215,620.924533
7.127738,231,623.108091
9.445148,180,624.79546
18.473448,237,627.000893
17.938738,203,628.913105
21.887419,271,631.467522
4.424692,221,633.524382
13.621711,190,635.296534
35.539272,456,639.594957
9.309344,173,641.193896
6.082413,175,642.812463
7.506638,188,644.555523
11.875776,248,646.87605
16.614127,245,649.166446
24.545409,374,652.829731
10.50125,174,654.452318
14.576461,252,656.801498
10.383454,244,659.09411
4.786757,252,661.44792
6.492386,230,663.594931
11.903875,243,665.880183
13.756943,256,668.321233
6.0899,216,670.348017
7.690278,200,672.211284
11.81165,213,674.224641
17.646253,222,676.302285
20.315055,252,678.745497
8.926025,201,680.635029
18.698794,281,683.309179
8.897886,181,684.990338
19.565684,179,686.651737
7.893245,166,688.18629
8.179463,175,689.811754
12.912666,176,691.440839
9.653745,184,693.135122
9.26901,191,694.918993
10.411786,183,696.613691
13.958005,227,698.730712
10.057142,237,700.954727
4.183411,189,702.725441
20.128427,299,705.5311
12.098461,200,707.388432
9.658478,172,708.974516
18.336352,274,711.52256
8.499584,198,713.365632
13.194884,250,715.70032
16.125306,252,718.037912
19.821885,342,721.251783
11.29074,248,723.587321
18.483586,289,726.271638
11.608558,247,728.586042
16.066075,276,731.148783
9.825185,219,733.165023
11.879924,257,735.551199
16.651282,275,738.193781
10.774919,269,740.715963
7.811519,220,742.771072
3.74646,237,744.997305
3.963899,184,746.713127
19.943331,348,749.966037
5.981532,181,751.620243
7.011288,202,753.492198
19.120477,322,756.487758
7.812786,217,758.498505
6.450888,200,760.353078
7.012025,219,762.390099
3.086254,188,764.159492
2.893711,181,765.830107
5.796709,212,767.790505
8.683531,217,769.813004
11.714075,279,772.44255
3.481733,190,774.244076
3.928027,194,776.03956
3.168175,219,778.073623
1.886059,163,779.589009
36.688599,456,783.867419
14.078024,206,785.776737
10.523836,246,788.079543
7.563809,198,789.918314
27.562751,310,792.809227
36.21401,258,795.219365
52.901572,317,798.226051
7.317437,223,800.296834
35.57444,219,802.318279
16.464958,253,804.686901
10.27613,190,806.436274
17.881094,270,808.966995
12.675293,195,810.772987
27.67687,207,812.691858
9.061103,186,814.443739
20.602989,193,816.31016
7.720031,189,818.080827
8.455895,199,819.931213
17.158689,208,821.874693
8.484366,182,823.557677
5.451495,193,825.337599
14.820272,174,826.94954
9.215323,172,828.575112
12.589893,179,830.23431
11.094571,168,831.790176
9.653931,170,833.375201
5.553297,174,835.002433
13.79657,190,836.769039
18.944328,280,839.400399
8.896289,193,841.187626
14.810844,207,843.109759
24.767242,241,845.373236
34.177053,461,849.733794
16.869168,215,851.725381
2.645731,223,853.805377
9.273926,228,855.919992
41.338983,411,859.763689
21.864276,290,862.459749
16.502952,199,864.331449
20.094226,219,866.364234
26.745373,256,868.732977
34.304944,236,870.926388
15.496872,239,873.287022
14.390111,205,875.742723
20.884261,294,878.504557
16.279535,243,880.773228
23.720139,236,882.9656
14.160357,207,884.87925
10.549186,193,886.661818
20.183645,269,889.174664
16.755852,220,891.257452
10.248722,203,893.161555
17.123971,224,895.241763
19.52253,230,897.424484
15.037654,218,899.473286
30.121061,280,902.082311
14.152833,219,904.12106
12.982367,193,905.902245
25.266044,331,909.026228
19.677296,263,911.491726
31.135242,243,913.757826
10.313669,228,915.901201
31.953724,262,918.428543
12.876411,216,920.432629
11.359166,226,922.53427
21.805144,213,924.53315
10.5587,219,926.559728
8.846505,192,928.33136
11.760713,191,930.098086
14.425849,255,932.465699
22.894901,317,935.445242
14.70187,286,938.118981
22.330369,194,939.915778
22.236832,299,942.701516
9.724742,200,944.572074
18.553987,180,946.224547
11.668421,195,948.028082
39.227512,404,951.810068
10.989273,220,953.90038
10.334094,199,955.778591
17.703601,203,957.651014
19.649558,210,959.581463
18.588431,243,961.832432
19.918664,183,963.511202
14.713778,179,965.161575
13.276995,192,966.935582
11.655285,188,968.687788
20.749926,299,971.472338
10.496403,196,973.277909
14.96869,198,975.125493
13.974356,247,977.462262
6.304869,188,979.216766
23.569745,264,981.666598
7.074968,232,983.853246
12.833111,229,985.975983
11.719919,209,987.906349
29.074275,251,990.282405
0.669958,216,992.28179
18.953931,228,994.394089
19.636342,223,996.454186
16.346791,326,999.48391
12.420033,255,1001.844863
6.145743,218,1003.864455
7.427851,203,1005.738164
11.368064,261,1008.188847
6.706386,183,1009.872218
8.84009,211,1011.822312
1.855829,177,1013.475904
6.753885,192,1015.248207
12.010686,222,1017.305247
6.015325,204,1019.186768
10.76154,272,1021.744579
17.967804,275,1024.344753
9.747075,180,1026.002062
6.346604,193,1027.802405
9.190565,278,1030.414949
4.779767,184,1032.104039
25.134686,334,1035.235729
20.826937,264,1037.759553
20.07983,330,1040.846978
6.812448,197,1042.681004
24.292788,278,1045.302926
8.830093,185,1047.018804
9.891611,155,1048.450198
9.440343,154,1049.875911
9.427054,153,1051.281085
33.926373,279,1053.888383
19.22576,273,1056.417374
9.771653,158,1057.87435
19.390803,308,1060.758093
8.997942,212,1062.718286
11.173982,196,1064.530046
11.177123,158,1065.98582
39.408841,379,1069.526207
29.796118,349,1072.791807
29.378964,215,1074.81109
9.62012,205,1076.703768
11.91966,211,1078.670464
8.476533,211,1080.617131
4.716971,199,1082.464944
29.887514,419,1086.399549
12.680146,232,1088.567082
24.891683,317,1091.532321
22.683593,203,1093.418051
35.163539,368,1096.878238
10.085424,217,1098.967153
19.902395,363,1102.346976
7.73723,234,1104.547829
10.622568,262,1106.987989
12.262036,244,1109.263236
7.204281,226,1111.359416
16.478613,228,1113.461896
43.078764,555,1118.687663
12.846788,273,1121.22602
12.115793,271,1123.751149
21.821511,214,1125.736781
5.932077,195,1127.56557
15.565713,219,1129.604492
22.350757,243,1131.876276
15.620372,208,1133.850538
11.802325,244,1136.255987
3.858287,246,1138.72167
5.459086,207,1140.810372
27.412244,496,1145.715984
17.753363,189,1147.559173
12.512854,195,1149.466817
19.023689,238,1151.807634
10.486313,195,1154.245261
10.456998,174,1156.096239
12.628169,201,1158.175919
11.039269,182,1159.972581
25.518017,197,1161.828769
13.21225,174,1163.489365
23.327035,225,1165.609441
27.227784,237,1167.856778
15.027049,269,1170.417519
15.428216,185,1172.147384
16.615055,219,1174.200795
33.353492,498,1178.918204
21.857542,290,1181.638136
17.565517,288,1184.339852
15.321524,245,1186.632874
11.990392,237,1188.846573
19.794456,266,1191.329359
20.175094,387,1194.99758
40.155576,404,1198.774861
12.098747,257,1201.175594
16.813757,207,1203.111772
13.530119,280,1205.753252
10.081451,230,1207.902332
12.924802,256,1210.390825
10.132161,283,1213.138017
6.531611,172,1214.989693
18.53148,201,1216.960928
29.496,277,1219.787925
16.142766,228,1221.91467
19.636093,298,1224.742816
16.08752,220,1226.792099
14.000693,251,1229.148354
11.710753,205,1231.060404
14.145761,207,1232.992739
25.211147,229,1235.146524
24.04929,272,1237.698045
16.685537,204,1239.618688
18.56353,283,1242.286777
24.175875,317,1245.264985
16.357996,266,1247.762367
35.099223,381,1251.341932
50.273441,414,1255.251272
18.773435,205,1257.153145
7.906422,221,1259.229561
18.194101,294,1261.977456
25.673302,229,1264.107414
14.004387,264,1266.553475
10.449403,176,1268.202507
16.319255,214,1270.248632
19.896834,197,1272.311671
